Timestamp,GFO_Computed_Density,GFO_Accelerometer_Density,GFO_JB08,GFO_DTM2000,GFO_NRLMSISE-00
2023-04-23 13:44:12,8.730306609420568e-13,7.5167799e-13,4.842863640766882e-13,1.0922419771207186e-12,7.2986723e-13
2023-04-23 13:44:27,8.812431875992411e-13,7.8394565e-13,4.858299045982121e-13,1.086873096204173e-12,7.283627e-13
2023-04-23 13:44:42,8.770288293051745e-13,8.04029e-13,4.87522473012911e-13,1.0816883857106553e-12,7.2673725e-13
2023-04-23 13:44:57,8.802037150626471e-13,8.7190644e-13,4.893753857714435e-13,1.0767182910519254e-12,7.2501337e-13
2023-04-23 13:45:12,8.719814807645069e-13,9.002269e-13,4.914080235503003e-13,1.0719873277854177e-12,7.231925e-13
2023-04-23 13:45:27,8.784661392642498e-13,9.2619419e-13,4.93663233712223e-13,1.0675189566606232e-12,7.212731e-13
2023-04-23 13:45:42,8.82980021528838e-13,9.4180524e-13,4.962412224916063e-13,1.0633304672700415e-12,7.1927376e-13
2023-04-23 13:45:57,8.886022604270236e-13,9.9504792e-13,4.994293102319446e-13,1.0594378870030244e-12,7.171919e-13
2023-04-23 13:46:12,8.916191029984933e-13,1.0257278e-12,5.042692807842981e-13,1.0558509739524482e-12,7.150425e-13
2023-04-23 13:46:27,8.949120652396167e-13,1.0812562e-12,5.099526790065718e-13,1.0525781594075496e-12,7.1284076e-13
2023-04-23 13:46:42,8.909030540185537e-13,1.1031138e-12,5.078269240810389e-13,1.049621640580195e-12,7.106626e-13
2023-04-23 13:46:57,8.906909380189162e-13,1.1235985e-12,5.123606341935973e-13,1.046982359745197e-12,7.086529e-13
2023-04-23 13:47:12,8.872605279705148e-13,1.1169252e-12,5.177521133610698e-13,1.0446551762643744e-12,7.0674163e-13
2023-04-23 13:47:27,8.827985544396515e-13,1.092021e-12,5.207374690621353e-13,1.0426339128846762e-12,7.0482937e-13
2023-04-23 13:47:42,8.747574558515519e-13,1.079356e-12,5.227152632537457e-13,1.0409066200655941e-12,7.0287905e-13
