UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,DTM-2000
2023-05-06 00:11:57,-3888793.279422716,469075.0793436431,5627653.341000291,-6239.1671221209845,512.5135004276174,-4355.411990827569,,,,-1.1384010445425476e-07,-4.31108648779599e-08,5.4605602706203626e-08,3.7981715981902324e-13,6.032789923604079e-13,1.3448737293631542e-12,1.5303933261450258e-12,1.5303933261450472e-12
2023-05-06 00:12:12,-3981837.281222717,476697.359344156,5561542.725569733,-6166.410022349873,503.76662621240354,-4459.136844319976,,,,-7.013889646856343e-08,-6.249307060723909e-08,-5.470999031587098e-08,5.437530022946185e-13,6.040154126896969e-13,1.344550295010746e-12,1.5342493230355069e-12,1.5342493230355069e-12
2023-05-06 00:12:27,-4073776.985779671,484187.37508759584,5493885.376493229,-6091.934199675976,494.8790517572649,-4561.6335225837865,,,,3.0832667086144745e-08,-6.140694785994327e-08,-2.44787630165888e-08,-8.984319085534772e-14,6.047738340953374e-13,1.344624996160028e-12,1.5373665165055308e-12,1.5373665165055308e-12
2023-05-06 00:12:42,-4164586.815166723,491543.04021143634,5424700.004647793,-6015.76000626965,485.85322316670585,-4662.873250923744,,,,1.105053648586818e-08,-4.83066394663112e-08,1.0514433235186973e-07,-4.890005605884625e-13,6.055506473354623e-13,1.3450846189703198e-12,1.5397157589058225e-12,1.5397157589058223e-12
2023-05-06 00:12:57,-4254241.396646109,498762.2929929842,5354005.607435961,-5937.908118642867,476.691611660151,-4762.8274700533,,,,-5.9282570852303706e-08,-6.497713911368663e-08,1.3403742737949642e-07,-2.6741912918631633e-13,6.063439552773889e-13,1.3459153543280973e-12,1.5412762610748905e-12,1.5412762610748905e-12
2023-05-06 00:13:12,-4342715.777328268,505843.12204871466,5281821.749012023,-5858.399857947792,467.3967387174853,-4861.468058817489,,,,-1.0283794349419396e-07,-5.5291028311366126e-08,-6.889630110862299e-08,7.680703386514803e-13,6.071500282382486e-13,1.347096574913245e-12,1.5420285167561262e-12,1.5420285167561262e-12
2023-05-06 00:13:27,-4429985.218990444,512783.5413793869,5208168.273669893,-5777.256867287793,457.97115156116615,-4958.767121924471,,,,4.6010317333866624e-08,-5.630854038596311e-08,-3.8813732672338126e-08,-8.350183687178949e-14,6.079668598109507e-13,1.348607232066852e-12,1.541962150488488e-12,1.541962150488488e-12
2023-05-06 00:13:42,-4516025.422228928,519581.6161837256,5133065.579510224,-5694.501432930782,448.4174501234762,-5054.6972294033585,,,,1.7520524142611293e-07,-9.116356325389321e-08,5.0051874644907464e-08,-1.087938006690047e-12,6.087905989102317e-13,1.3504196212758546e-12,1.54106869253637e-12,1.54106869253637e-12
2023-05-06 00:13:57,-4600812.312195878,526235.4376740106,5056534.337696498,-5610.156158954167,438.73825962135106,-5149.231192576259,,,,3.2070532007821846e-08,-9.824119551193888e-08,2.442867614860234e-07,-1.2473763642162837e-12,6.096191298660586e-13,1.3525058982872156e-12,1.539349378999524e-12,1.539349378999524e-12
2023-05-06 00:14:12,-4684322.2734478945,532743.1499187746,4978595.757836769,-5524.244277508706,428.9362537005104,-5242.342322616344,,,,-1.784648198110972e-07,-4.3166567542662904e-08,1.8933681911192937e-07,-2.1422035715473722e-14,6.104484802360687e-13,1.3548318300199758e-12,1.5368077561556349e-12,1.5368077561556347e-12
