Unnamed: 0,UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00,latitude,longitude,altitude,nrlensys-00,NRLMSISE-00,AccelerometerDensity,EDR Density
2404,2021-03-19 08:00:57,-352476.3792028793,2523193.506211141,-6378565.136585272,-1299.4414831051254,6950.654135712851,2822.9578097875465,,,,2.934028853207593e-09,-1.557548587882707e-07,1.0360012758781069e-07,-6.733125832650595e-13,9.396999692101909e-14,1.1823840950247386e-13,1.4729223384376597e-13,-68.36509629966287,160.6057121638964,508860.64833262126,1.2868539e-13,1.3330736e-13,8.1238119e-14,
2405,2021-03-19 08:01:12,-371918.546831856,2627100.991217764,-6335341.662988317,-1292.7877685972364,6903.35734649534,2940.043839705134,,,,1.8914486643595296e-10,-1.4669140346867948e-07,1.2616171130019893e-07,-5.444203451826846e-13,9.485431860219125e-14,1.1922395822954522e-13,1.476721154396694e-13,-67.41769226233177,160.6618630398047,508590.73497326777,1.2906896e-13,1.3363041e-13,8.3110111e-14,
2406,2021-03-19 08:01:27,-391258.2286324138,2730284.6950639184,-6290367.828752479,-1285.7772784211688,6854.154252427257,3056.3285284534527,,,,1.4363314315701814e-08,-1.975625925076941e-07,6.737970981163245e-08,-9.890234400570612e-13,9.575896807952485e-14,1.2023642487537566e-13,1.4798904094897892e-13,-66.47004750740204,160.7089415382722,508314.63664615573,1.2940746e-13,1.3390671e-13,8.7497951e-14,
2407,2021-03-19 08:01:42,-410490.09105252614,2832716.1537832543,-6243655.974535164,-1278.411870324323,6803.058020404203,3171.7798343069867,,,,-8.907967030680197e-09,-1.674521135086593e-07,4.653198892867749e-08,-8.30847066519873e-13,9.668363127871541e-14,1.212753033011301e-13,1.4824694262019985e-13,-65.52216693256005,160.74800174480896,508032.69161884265,1.2970118e-13,1.341381e-13,8.8971549e-14,
2408,2021-03-19 08:01:57,-429608.819511274,2934367.036903388,-6195218.760756786,-1270.693465759808,6750.082165447208,3286.365845463447,,,,1.7206863489604984e-08,-1.7283352393704376e-07,6.201996249899366e-09,-9.899542608400792e-13,9.762827260728565e-14,1.2234024839251898e-13,1.484505752341609e-13,-64.57405418991058,160.77994110972838,507745.0719166118,1.2995498e-13,1.3432736e-13,8.9688444e-14,
2409,2021-03-19 08:02:12,-448609.1397561361,3035209.2916262196,-6145069.4837791165,-1262.624115930491,6695.240899916333,3400.054921579953,,,,-2.2909573682561305e-08,-9.867180539302468e-08,1.1504064101330869e-07,-2.039332648460767e-13,9.859249992765368e-14,1.2343029677788633e-13,1.486045711649055e-13,-63.62571197490726,160.80552851346525,507452.1309062003,1.3017023e-13,1.3447782e-13,8.8745837e-14,
2410,2021-03-19 08:02:27,-467485.7984118723,3135215.008997596,-6093221.755614523,-1254.205939016244,6638.548786174888,3512.815566421784,,,,5.0710281529475765e-09,-1.4454490004922604e-07,3.623989019985174e-08,-7.105537259082244e-13,9.957620594213089e-14,1.2454462248297324e-13,1.4871434346013836e-13,-62.6771421954727,160.8254265019576,507154.0551734762,1.303534e-13,1.3459523e-13,8.7492826e-14,
2411,2021-03-19 08:02:42,-486233.58528396906,3234356.577764873,-6039689.814936366,-1245.4411913551849,6580.021089260149,3624.6165887274337,,,,3.294616635063363e-08,-2.893802339976048e-07,1.4535576919882942e-07,-1.2015874082872156e-12,1.0057892101410373e-13,1.256817482677863e-13,1.487851257040064e-13,-61.728346173480205,160.84020905610802,506851.2116038976,1.3050533e-13,1.3468026e-13,9.00648e-14,
2412,2021-03-19 08:02:57,-504847.3130239522,3332606.5410623695,-5984488.211435754,-1236.3321986999513,6519.673421215506,3735.426962259423,,,,2.3619167288657653e-08,-2.028620187388697e-07,-5.940775871238202e-09,-1.1638116446478894e-12,1.0160046613675321e-13,1.2684032208609938e-13,1.4882286942925776e-13,-60.779324735608114,160.85037593521588,506543.79967599263,1.3063162e-13,1.3473955e-13,9.3632066e-14,
2413,2021-03-19 08:03:12,-523321.84248677926,3429937.761870752,-5927632.112213761,-1226.881426303,6457.522079434788,3845.216015903141,,,,5.8214976061954367e-08,-2.305461341833848e-07,-1.1392153176359444e-07,-1.6923113138165462e-12,1.0264028950961382e-13,1.2801831610407576e-13,1.4883326445157566e-13,-59.830078350591265,160.8563643174731,506232.2000078091,1.307364e-13,1.3477671e-13,9.3911797e-14,
2414,2021-03-19 08:03:27,-541652.0595221933,3526323.267738919,-5869136.990134436,-1217.0914062192562,6393.5836946034115,3953.9532611287023,,,,-1.6485569576119021e-09,-1.2474644606186305e-07,-1.9573959342267244e-08,-7.392284428933977e-13,1.036981357928995e-13,1.2921383151485082e-13,1.488226364902e-13,-58.88060718720742,160.85855831351776,505916.6249388887,1.30823e-13,1.3479583e-13,9.0731911e-14,
2415,2021-03-19 08:03:42,-559832.9017556482,3621736.4246423426,-5809018.923703755,-1206.964798213681,6327.875545222716,4061.608584622255,,,,7.769708765259509e-09,-1.0856016441351812e-07,-2.5745530152221363e-08,-6.781129451983588e-13,1.0477337188687329e-13,1.3042429342892373e-13,1.4879695831200177e-13,-57.93091122461416,160.8572967981303,505597.4655747771,1.3089754e-13,1.3480153e-13,9.0343853e-14,
2416,2021-03-19 08:03:57,-577859.3337492822,3716150.77290396,-5747294.291692826,-1196.504323593183,6260.4152308911625,4168.152059832461,,,,1.5269725706090753e-08,-2.0273189260677785e-07,-1.3112526175973473e-08,-1.1361929064211233e-12,1.0586566735115145e-13,1.3164727912116317e-13,1.4876274090327441e-13,-56.98099027700627,160.852879895591,505274.94374863914,1.3096208e-13,1.3479928e-13,9.0460942e-14,
2417,2021-03-19 08:04:12,-595726.3760362607,3809540.211809977,-5683980.068291351,-1185.7128221224134,6191.220987779755,4273.5541320420525,,,,2.205407934052772e-08,-1.40910594303989e-07,-3.047350638496482e-08,-8.708249862405462e-13,1.0697430270721337e-13,1.3287970168861234e-13,1.487260300453948e-13,-56.03084407999237,160.84557438528034,504949.4607296749,1.3102307e-13,1.3479159e-13,9.001764e-14,
2418,2021-03-19 08:04:27,-613429.0777743264,3901878.8247252665,-5619093.522177351,-1174.5931920232094,6120.311372018712,4377.785435720822,,,,1.250049486145599e-08,-1.595247480778994e-07,-6.975626565264292e-08,-1.097205723071356e-12,1.0809886728009638e-13,1.341186694513763e-13,1.486933019361193e-13,-55.080472299679066,160.83561821745587,504621.24758923537,1.3108395e-13,1.3478518e-13,9.0827578e-14,
2419,2021-03-19 08:04:42,-630962.5466485042,3993141.072366096,-5552652.504563502,-1163.148446888404,6047.705583002561,4480.816990252785,,,,2.6552717802275083e-09,-1.1010530531763153e-07,-2.387090436428707e-08,-6.566118706399298e-13,1.092385554569293e-13,1.3536066486273761e-13,1.4867045686851536e-13,-54.12987460754158,160.82322431359646,504290.7126972568,1.3115041e-13,1.3478427e-13,9.0528307e-14,
2420,2021-03-19 08:04:57,-648321.920803824,4083301.608922491,-5484675.1554851215,-1151.3816578492035,5973.423142860979,4582.620014070596,,,,1.6784357681487453e-08,-1.478635383023175e-07,-9.651341237315593e-08,-1.137919814127697e-12,1.1039287655645405e-13,1.3660242748951721e-13,1.486637146372568e-13,-53.17905067671217,160.80858379480858,503958.0935149885,1.3122524e-13,1.3479224e-13,8.8380495e-14,
2421,2021-03-19 08:05:12,-665502.4016980524,4172335.4851281056,-5415180.1877334025,-1139.2960108193083,5897.484221399972,4683.166136887229,,,,1.1958049772609058e-08,-1.6260933843881278e-07,2.1068876421281857e-08,-7.39305476678241e-13,1.1156093110913804e-13,1.3784011745259476e-13,1.486785991606696e-13,-52.22800025550379,160.79186872552634,503623.8064711403,1.3131195e-13,1.3481336e-13,8.9542867e-14,
2422,2021-03-19 08:05:27,-682499.2229523791,4260217.955086545,-5344186.596715495,-1126.8947491637325,5819.909310456791,4782.427204342053,,,,2.517276498359422e-09,-1.318692151031087e-07,-8.417142005612278e-08,-9.921031928747046e-13,1.1274214070100381e-13,1.39070229108396e-13,1.48720847499448e-13,-51.27672314290894,160.7732344372938,503288.0964584734,1.314167e-13,1.348527e-13,8.7799661e-14,
2423,2021-03-19 08:05:42,-699307.6835289476,4346924.68983757,-5271713.935546525,-1114.1812312702486,5740.719542317403,4880.375514499698,,,,-1.0032398800596807e-08,-2.358720649908719e-07,-8.743432644564565e-08,-1.496657349506195e-12,1.1393551045907484e-13,1.402887442094302e-13,1.4879539708148577e-13,-50.325219238445136,160.7528215157779,502951.3859879724,1.3154256e-13,1.3491461e-13,8.7672709e-14,
2424,2021-03-19 08:05:57,-715923.1161616533,4432431.5733368145,-5197782.033054716,-1101.158872947586,5659.936361541475,4976.983600351207,,,,3.5505621776010803e-09,-1.2577047758810522e-07,-1.352285909916873e-07,-1.174481972601345e-12,1.1514037371190625e-13,1.414920664230423e-13,1.4890730405243216e-13,-49.37348852760796,160.73075753348346,502613.9251674981,1.3169287e-13,1.3500212e-13,8.8245621e-14,
2425,2021-03-19 08:06:12,-732340.9233304448,4516714.92426722,-5122411.263212729,-1087.831204665526,5577.581821334856,5072.224482168097,,,,-1.8397194878616574e-10,-9.891868657518901e-08,-1.5039331380251042e-07,-1.111406432543e-12,1.163556366480799e-13,1.4267615633260533e-13,1.49060730508777e-13,-48.42153113871899,160.70715853712144,502276.1418293254,1.3186987e-13,1.3511703e-13,8.9100833e-14,
2426,2021-03-19 08:06:27,-748556.5432459265,4599751.283135996,-5045622.26862951,-1074.2018143139296,5493.678272522686,5166.071426795754,,,,-7.203255103505057e-09,-9.084622210053794e-08,-1.001899194719158e-07,-8.530083799919649e-13,1.175805417026335e-13,1.4383748703930148e-13,1.492598793771345e-13,-47.46934731560403,160.68213033611335,501938.2903432839,1.3207748e-13,1.3526455e-13,9.0613276e-14,
2427,2021-03-19 08:06:42,-764565.4872952681,4681517.643020124,-4967436.221314714,-1060.2744048019142,5408.248647761113,5258.498200094667,,,,-1.7137102181763453e-08,-1.201009265372477e-07,-7.307387051014302e-08,-8.585120918162712e-13,1.1881389768283348e-13,1.4497216164519582e-13,1.495079870985726e-13,-46.51693746327545,160.6557696200183,501600.8011191588,1.3231808e-13,1.3544623e-13,9.11237e-14,
2428,2021-03-19 08:06:57,-780363.3040902975,4761991.227839871,-4887874.554227734,-1046.0527362453436,5321.316167563456,5349.478820834816,,,,-1.4685302751615836e-08,-1.278610275434744e-07,-1.3332585790948317e-07,-1.164931330320589e-12,1.200548584545601e-13,1.4607688118511404e-13,1.4980827210993472e-13,-45.564302120942806,160.6281649330191,501263.9300393055,1.325937e-13,1.3566448e-13,9.0860862e-14,
2429,2021-03-19 08:07:12,-795945.6179649075,4841149.732318894,-4806959.214726183,-1031.5406825678058,5232.904622040701,5438.987820409043,,,,-4.831689159878749e-09,-1.1521294407401685e-07,-1.6211410347466426e-07,-1.2504978385452834e-12,1.2130213472592344e-13,1.4714803715889736e-13,1.5016292854449597e-13,-44.61144200412904,160.5993975181155,500928.10891597264,1.3290738e-13,1.3592201e-13,9.072737e-14,
2430,2021-03-19 08:07:27,-811308.0922859955,4918971.090526872,-4724712.403671176,-1016.7421738333826,5143.038082424641,5526.9999906641315,,,,-1.8220254194289964e-08,-8.20438277315816e-08,-1.606701482970152e-07,-1.091333230032735e-12,1.2255479108745561e-13,1.4818269139291708e-13,1.505740933432847e-13,-43.658357980784,160.5695420783737,500593.594241466,1.3325872e-13,1.3621909e-13,9.114241e-14,
2431,2021-03-19 08:07:42,-826446.4708304126,4995433.723114199,-4641156.821539616,-1001.6612508604098,5051.741174832627,5613.490652639778,,,,-2.4367100115441076e-08,-5.6510474522042387e-08,-1.1255223686390536e-07,-7.54424579922126e-13,1.2381144112144645e-13,1.4917764384995408e-13,1.5104284257922614e-13,-42.70505112046128,160.53866744244132,500260.8177447625,1.3364947e-13,1.3655742e-13,9.1629041e-14,
2432,2021-03-19 08:07:57,-841356.5380608705,5070516.298262251,-4556315.41413781,-986.3020089929388,4959.038800296459,5698.435396229358,,,,-2.6829579002907167e-08,-8.016912644848162e-08,-1.510191127707117e-07,-1.0405375292705113e-12,1.2507106296038384e-13,1.501304217738567e-13,1.515701781671208e-13,-41.75152265720349,160.5068371396858,499930.0345624172,1.340808e-13,1.3693774e-13,9.326306e-14,
