UTC,x,y,z,xv,yv,zv,EDR Density,Drag Work,Delta Energy,g_con_integ,g_noncon_integ,delta_v
2024-05-08 22:01:05,650370.3640889757,-1195008.62315004,-6725913.7048270665,4220.547727989287,-6156.145512893181,1493.3979471643736,2.4939625537885108e-11,35.20956537500024,-35.20956537500024,-0.0,0.0,-35.20956537500024
2024-05-08 22:01:06,654590.5079129938,-1201164.028012781,-6724416.153178909,4219.747001168209,-6154.675595331109,1501.6728829760061,2.4877452112377305e-11,35.121823612600565,-35.121823612600565,-0.0,0.0,-35.121823612600565
2024-05-08 22:01:07,658809.8472456064,-1207317.957114809,-6722910.317839764,4218.94109122439,-6153.19811822263,1509.945963462224,2.481210441847694e-11,35.02960094809532,-35.02960094809532,-0.0,0.0,-35.02960094809532
2024-05-08 22:01:08,663028.3769716282,-1213470.403014842,-6721396.2011946505,4218.129999466351,-6151.7130838345065,1518.2171787052714,2.474364154176973e-11,34.932980787009,-34.932980787009,-0.0,0.0,-34.932980787009
2024-05-08 22:01:09,667246.0919758733,-1219621.3582715981,-6719873.805628588,4217.31372720261,-6150.2204944335035,1526.4865187873945,2.467212266313195e-11,34.832046668976545,-34.832046668976545,-0.0,0.0,-34.832046668976545
2024-05-08 22:01:10,671462.9871431566,-1225770.8154437963,-6718343.133526597,4216.4922757416825,-6148.720352286386,1534.7539737908378,2.459760696373055e-11,34.7268821336329,-34.7268821336329,-0.0,0.0,-34.7268821336329
2024-05-08 22:01:11,675679.0573582922,-1231918.7670901543,-6716804.187273698,4215.66564639209,-6147.212659659918,1543.0195337978457,2.452015365140283e-11,34.617570757865906,-34.617570757865906,-0.0,0.0,-34.617570757865906
2024-05-08 22:01:12,679894.2975060947,-1238065.2057693913,-6715256.96925491,4214.833840462348,-6145.697418820864,1551.2831888906646,2.443982203453164e-11,34.504196260124445,-34.504196260124445,-0.0,0.0,-34.504196260124445
2024-05-08 22:01:13,684108.7024713786,-1244210.1240402244,-6713701.481855252,4213.996859260978,-6144.174632035992,1559.544929151538,2.4356671355800226e-11,34.386842265725136,-34.386842265725136,-0.0,0.0,-34.386842265725136
2024-05-08 22:01:14,688322.2671389581,-1250353.514461373,-6712137.727459745,4213.154704096496,-6142.644301572062,1567.804744662712,2.4270761000639275e-11,34.265592601150274,-34.265592601150274,-0.0,0.0,-34.265592601150274
2024-05-08 22:01:15,692534.9863936481,-1256495.3695915549,-6710565.708453409,4212.30737627742,-6141.106429695843,1576.0626255064312,2.418215031251028e-11,34.14053103327751,-34.14053103327751,-0.0,0.0,-34.14053103327751
2024-05-08 22:01:16,696746.8551202626,-1262635.6819894887,-6708985.427221264,4211.45487711227,-6139.561018674098,1584.3185617649403,2.409089869316582e-11,34.011741410940886,-34.011741410940886,-0.0,0.0,-34.011741410940886
