UTC,Computed Density,JB08,DTM2000,EDR Density,AccelerometerDensity,NRLMSISE-00,NRT Density
2023-05-06 00:52:57,6.310668037909942e-13,3.123354288430445e-13,9.042464197525514e-13,9.509048760776418e-13,4.4292714e-13,5.4367556e-13,5.518635309987696e-13
2023-05-06 00:53:12,6.346653695329404e-13,3.1219427163186453e-13,9.092222071175296e-13,9.527770374861512e-13,4.4087222e-13,5.450725e-13,5.563620972165433e-13
2023-05-06 00:53:27,6.374508416424134e-13,3.121408182159342e-13,9.141714471161404e-13,9.5525013597813e-13,4.345546e-13,5.477691e-13,5.601060983700319e-13
2023-05-06 00:53:42,6.398656641887264e-13,3.121766786161316e-13,9.190654447363548e-13,9.583266266200036e-13,4.3135014e-13,5.4920136e-13,5.635396873092231e-13
2023-05-06 00:53:57,6.427139217115085e-13,3.123036759727184e-13,9.238774763211236e-13,9.613405462081137e-13,4.2257231e-13,5.5197497e-13,5.674732382369681e-13
2023-05-06 00:54:12,6.456916368347762e-13,3.125222518571774e-13,9.285788486271304e-13,9.634277319877873e-13,4.2097963e-13,5.534527e-13,5.716071607309506e-13
2023-05-06 00:54:27,6.485957562842796e-13,3.1283339643759713e-13,9.331434837880159e-13,9.63953069050711e-13,4.2023573e-13,5.563043e-13,5.757385762427675e-13
2023-05-06 00:54:42,6.509977704555726e-13,3.132369451437775e-13,9.375439154133112e-13,9.638111298335244e-13,4.1566401e-13,5.578404e-13,5.794388120676196e-13
2023-05-06 00:54:57,6.5221389411081e-13,3.137334386707131e-13,9.417558853748418e-13,9.63585374603991e-13,3.9595014e-13,5.607985e-13,5.820261759787026e-13
2023-05-06 00:55:12,6.531001769279712e-13,3.143223650536365e-13,9.457542474874404e-13,9.631240871427981e-13,3.8613436e-13,5.623928e-13,5.843583296097704e-13
2023-05-06 00:55:27,6.549515030482352e-13,3.150039969872839e-13,9.495175804081133e-13,9.630126506427495e-13,3.7158948e-13,5.6547383e-13,5.877297184252887e-13
2023-05-06 00:55:42,6.571904505054956e-13,3.1577760430740054e-13,9.530239962732226e-13,9.62657071807289e-13,3.6813671e-13,5.671355e-13,5.915604671834973e-13
2023-05-06 00:55:57,6.590448894935071e-13,3.166432834992173e-13,9.562557539123524e-13,9.613077799247302e-13,3.6774235e-13,5.703492e-13,5.95082066039672e-13
2023-05-06 00:56:12,6.601558499589279e-13,3.176001459921867e-13,9.591949615338342e-13,9.588378397473382e-13,3.706811e-13,5.720933e-13,5.979442672648559e-13
2023-05-06 00:56:27,6.607747830777207e-13,3.18648156111554e-13,9.618282028000505e-13,9.549733905581672e-13,3.7531524e-13,5.7545174e-13,6.003977786887204e-13
2023-05-06 00:56:42,6.613962102489736e-13,3.1978630904690397e-13,9.641421618655161e-13,9.507809642969217e-13,3.7915623e-13,5.7727537e-13,6.029242741826216e-13
2023-05-06 00:56:57,6.624235547269646e-13,3.210144703938724e-13,9.661282296977465e-13,9.473941941478632e-13,3.9267222e-13,5.8078455e-13,6.059210212464995e-13
2023-05-06 00:57:12,6.636648938038883e-13,3.2233153466310193e-13,9.677780320937101e-13,9.443916394408492e-13,4.0157831e-13,5.8269194e-13,6.092043968843273e-13
2023-05-06 00:57:27,6.644668620109393e-13,3.237372786583481e-13,9.690880353920893e-13,9.413744509419578e-13,4.1945798e-13,5.863533e-13,6.121248202861872e-13
2023-05-06 00:57:42,6.65104754977054e-13,3.2523050638494243e-13,9.700549992714606e-13,9.382144236993692e-13,4.2262206e-13,5.8834816e-13,6.149508549990838e-13
2023-05-06 00:57:57,6.660972253868989e-13,3.268109124886103e-13,9.706805639233878e-13,9.351459770937876e-13,4.2615108e-13,5.921535e-13,6.181964475022462e-13
2023-05-06 00:58:12,6.670547477212189e-13,3.2847720404831843e-13,9.70966613812908e-13,9.324231927633876e-13,4.2481888e-13,5.942286e-13,6.214730767777236e-13
2023-05-06 00:58:27,6.676985170408274e-13,3.302289843305496e-13,9.709198639293634e-13,9.296926648232423e-13,4.2215565e-13,5.981793e-13,6.245014540876489e-13
2023-05-06 00:58:42,6.681085122031329e-13,3.320648513823725e-13,9.705471449934434e-13,9.274014010135372e-13,4.1921274e-13,6.003358e-13,6.273600641630389e-13
2023-05-06 00:58:57,6.682818490854458e-13,3.339843052356215e-13,9.698599899837104e-13,9.261482530176478e-13,4.1547693e-13,6.044035e-13,6.300444494065488e-13
2023-05-06 00:59:12,6.685887149052744e-13,3.3598582796033924e-13,9.688698642940465e-13,9.25929963369505e-13,4.1262066e-13,6.066214e-13,6.329210101667369e-13
2023-05-06 00:59:27,6.689113006779866e-13,3.380688103480453e-13,9.675927373110022e-13,9.261974332771329e-13,4.0549237e-13,6.108007e-13,6.358665629927261e-13
2023-05-06 00:59:42,6.688810247888516e-13,3.402316051362471e-13,9.660442506373473e-13,9.264821287938446e-13,4.0087132e-13,6.130676e-13,6.385078917356734e-13
2023-05-06 00:59:57,6.687282295838074e-13,3.4247347998647823e-13,9.642442884255642e-13,9.26975185790167e-13,3.9593851e-13,6.173338e-13,6.410728559886342e-13
2023-05-06 01:00:12,6.685425255627689e-13,3.447926462628365e-13,9.622121046455685e-13,9.279617439304437e-13,3.9502697e-13,6.1964843e-13,6.436466145771129e-13
2023-05-06 01:00:27,6.684155314056301e-13,3.471882364803092e-13,9.599708867181357e-13,9.2975343806389e-13,3.9919691e-13,6.239653e-13,6.463085540404795e-13
2023-05-06 01:00:42,6.682350616094261e-13,3.4965830169011066e-13,9.575428417479073e-13,9.315992391610043e-13,4.0178155e-13,6.2630635e-13,6.489300752615691e-13
2023-05-06 01:00:57,6.679086848861348e-13,3.5220182191893937e-13,9.549537750008246e-13,9.328411798436144e-13,4.0411195e-13,6.3065276e-13,6.514111521813393e-13
2023-05-06 01:01:12,6.675585825106966e-13,3.548166798444086e-13,9.52228169747997e-13,9.340094992561919e-13,4.040978e-13,6.330085e-13,6.538766771062764e-13
2023-05-06 01:01:27,6.672960174917305e-13,3.57501696534262e-13,9.493937641355445e-13,9.354409683930801e-13,4.102644e-13,6.373652e-13,6.564363024670606e-13
2023-05-06 01:01:42,6.671028563608191e-13,3.602545709309557e-13,9.464766161492625e-13,9.36814257707104e-13,4.1418505e-13,6.3972357e-13,6.590604314526279e-13
