UTC,nc_x,nc_y,nc_z,c_x,c_y,c_z
2021-02-27 22:00:21,-1.1176986876871967e-09,4.330027703687654e-09,2.147399471111486e-09,1.7994466359820702,-7.639126625624963,-3.210914743938296
2021-02-27 22:00:22,-1.1170348640140264e-09,4.326354521159231e-09,2.1523518620809266e-09,1.7987803807010858,-7.635595295902663,-3.219659204569958
2021-02-27 22:00:23,-1.1163698445935513e-09,4.322674412961806e-09,2.157296422601503e-09,1.798111875750165,-7.632054414232086,-3.2283995850331375
2021-02-27 22:00:24,-1.1157038463869807e-09,4.3189876202591494e-09,2.16223294675395e-09,1.797441122137774,-7.628503985391,-3.237135874543899
2021-02-27 22:00:25,-1.1150367043255939e-09,4.315294096847107e-09,2.167161515108465e-09,1.7967681208777069,-7.62494401417675,-3.2458680623307643
2021-02-27 22:00:26,-1.114368567032441e-09,4.311594010463636e-09,2.172081962028556e-09,1.7960928729889467,-7.621374505406478,-3.254596137633996
2021-02-27 22:00:27,-1.113699573352324e-09,4.307887390488001e-09,2.1769943333716163e-09,1.7954153794955234,-7.617795463917386,-3.263320089704876
2021-02-27 22:00:28,-1.1130294755037074e-09,4.304174068856794e-09,2.1818987699166435e-09,1.7947356414263842,-7.61420689456706,-3.272039907805014
2021-02-27 22:00:29,-1.1123583349994452e-09,4.3004541287577476e-09,2.1867952368483747e-09,1.794053659815274,-7.610608802233852,-3.28075558120567
2021-02-27 22:00:30,-1.1116862426880147e-09,4.296727679151608e-09,2.1916835539256465e-09,1.7933694357006393,-7.607001191817359,-3.289467099187133
2021-02-27 22:00:31,-1.111013153784009e-09,4.292994628533726e-09,2.19656379162561e-09,1.792682970125511,-7.603384068238868,-3.2981744510380766
2021-02-27 22:00:32,-1.1103390336930338e-09,4.289254963384496e-09,2.2014359710824823e-09,1.791994264137428,-7.599757436441949,-3.3068776260550177
2021-02-27 22:00:33,-1.1096636939180824e-09,4.285508602180565e-09,2.206300122251433e-09,1.7913033187883607,-7.596121301393051,-3.3155766135417832
2021-02-27 22:00:34,-1.108987132995257e-09,4.281755533761012e-09,2.2111562768381253e-09,1.790610135134633,-7.592475668082123,-3.3242714028090212
2021-02-27 22:00:35,-1.1083095718806479e-09,4.277995985141072e-09,2.2160042885018242e-09,1.789914714236871,-7.588820541523319,-3.3329619831737785
2021-02-27 22:00:36,-1.1076308304808498e-09,4.274229815587033e-09,2.2208442367665396e-09,1.7892170571599524,-7.585155926755709,-3.3416483439591347
2021-02-27 22:00:37,-1.1069509523995123e-09,4.270457037102461e-09,2.225676141105531e-09,1.7885171649729688,-7.5814818288440495,-3.350330474493878
2021-02-27 22:00:38,-1.1062700815129364e-09,4.266677818120637e-09,2.2304998720765465e-09,1.7878150387491916,-7.577798252879539,-3.359008364112264
2021-02-27 22:00:39,-1.1055882825259752e-09,4.26289228088853e-09,2.235315411100663e-09,1.787110679566055,-7.574105203980644,-3.367682002153824
2021-02-27 22:00:40,-1.1049056707698152e-09,4.259100383008315e-09,2.2401227592666723e-09,1.7864040885051384,-7.570402687293896,-3.376351377963236
2021-02-27 22:00:41,-1.1042219547440598e-09,4.255301952099063e-09,2.2449220334922472e-09,1.7856952666521697,-7.56669070799474,-3.385016480890286
2021-02-27 22:00:42,-1.1035370960359313e-09,4.2514970169918e-09,2.2497131971696405e-09,1.7849842150970137,-7.562969271288341,-3.393677300289857
2021-02-27 22:00:43,-1.1028512118479893e-09,4.247685711798195e-09,2.254496194163308e-09,1.7842709348986294,-7.5592383822621585,-3.402333825454845
2021-02-27 22:00:44,-1.1021642772718728e-09,4.243868025315637e-09,2.2592710102016815e-09,1.7835554269800389,-7.555498045442761,-3.41098604541269
2021-02-27 22:00:45,-1.1014764033266626e-09,4.24004402104322e-09,2.2640376056469995e-09,1.7828376922338658,-7.551748265243105,-3.4196339491236096
2021-02-27 22:00:46,-1.100787390895856e-09,4.236213582432172e-09,2.2687960651316785e-09,1.7821177315574839,-7.547989046111896,-3.428277525547575
2021-02-27 22:00:47,-1.100097571578491e-09,4.232377213257707e-09,2.2735460874422906e-09,1.7813955458530617,-7.544220392534388,-3.43691676364467
2021-02-27 22:00:48,-1.099406910478812e-09,4.228534787070029e-09,2.2782876946606543e-09,1.7806711360276046,-7.540442309033173,-3.4455516523755145
2021-02-27 22:00:49,-1.0987153222563348e-09,4.22468617692049e-09,2.283021021314254e-09,1.7799445029930123,-7.536654800168926,-3.4541821807017428
2021-02-27 22:00:50,-1.0980228130823128e-09,4.220831469232064e-09,2.2877460786860133e-09,1.7792156476661298,-7.5328578705411156,-3.46280833758655
2021-02-27 22:00:51,-1.0973293564395613e-09,4.2169706078703526e-09,2.292462874536129e-09,1.7784845709688164,-7.529051524788702,-3.471430111995286
2021-02-27 22:00:52,-1.0966349112613215e-09,4.213103663222127e-09,2.2971713652311565e-09,1.7777512738279935,-7.5252357675907176,-3.480047492896075
2021-02-27 22:00:53,-1.0959395104124481e-09,4.209230537575847e-09,2.3018716294255273e-09,1.7770157571757326,-7.521410603666912,-3.488660469260535
2021-02-27 22:00:54,-1.0952430344421883e-09,4.205351203062662e-09,2.3065636891772e-09,1.7762780219493046,-7.517576037778221,-3.49726903006447
2021-02-27 22:00:55,-1.094545523987733e-09,4.201465714733758e-09,2.311247541285691e-09,1.775538069091267,-7.513732074727282,-3.505873164288657
2021-02-27 22:00:56,-1.0938471049238352e-09,4.197574126443224e-09,2.315923226989325e-09,1.7747958995495383,-7.509878719358855,-3.5144728609196316
2021-02-27 22:00:57,-1.0931479116261547e-09,4.193676595182325e-09,2.3205905330116093e-09,1.774051514277464,-7.506015976560158,-3.5230681089504996
2021-02-27 22:00:58,-1.0924479760829666e-09,4.189773174368898e-09,2.3252493790788105e-09,1.7733049142339097,-7.502143851261195,-3.5316588973817824
2021-02-27 22:00:59,-1.0917472169174981e-09,4.185863809026948e-09,2.3298997984032642e-09,1.7725561003833368,-7.498262348435003,-3.5402452152222774
2021-02-27 22:01:00,-1.0910454402367852e-09,4.181948405904341e-09,2.334541892044382e-09,1.7718050736958908,-7.494371473097835,-3.5488270514899156
2021-02-27 22:01:01,-1.0903427115132927e-09,4.1780270057005745e-09,2.3391757073662105e-09,1.7710518351474849,-7.490471230309285,-3.5574043952126417
2021-02-27 22:01:02,-1.0896389692936748e-09,4.174099575586374e-09,2.3438011774844796e-09,1.7702963857198881,-7.4865616251723495,-3.5659772354292723
2021-02-27 22:01:03,-1.088934309777887e-09,4.1701662022083434e-09,2.3484182481146026e-09,1.7695387264008244,-7.482642662833483,-3.574545561190384
2021-02-27 22:01:04,-1.0882286658030282e-09,4.16622684088428e-09,2.3530270116490753e-09,1.768778858184048,-7.478714348482482,-3.583109361559134
2021-02-27 22:01:05,-1.0875222911931024e-09,4.162281764707052e-09,2.357627243072993e-09,1.7680167820694603,-7.474776687352457,-3.591668625612148
2021-02-27 22:01:06,-1.0868148762960938e-09,4.158330711448902e-09,2.3622191662390554e-09,1.7672524990631944,-7.4708296847196625,-3.6002233424403154
2021-02-27 22:01:07,-1.086106477233005e-09,4.154373769381743e-09,2.3668026810650584e-09,1.7664860101777171,-7.466873345903284,-3.608773501149589
2021-02-27 22:01:08,-1.0853972533426054e-09,4.150411199654792e-09,2.3713776639820723e-09,1.765717316431937,-7.462907676265227,-3.617319090861784
2021-02-27 22:01:09,-1.0846872438615308e-09,4.1464431379447196e-09,2.37594400063661e-09,1.7649464188513044,-7.45893268120982,-3.6258601007152973
2021-02-27 22:01:10,-1.0839764145983669e-09,4.142469404196026e-09,2.380501860777939e-09,1.7641733184679234,-7.454948366183511,-3.6343965198658403
