UTC,nc_x,nc_y,nc_z,c_x,c_y,c_z
2023-03-23 10:30:04,-9.647583705543569e-10,-3.257365211342754e-10,1.5394547775644553e-09,-8.334322620153932,-0.09653252778284356,-1.5835268550289066
2023-03-23 10:30:05,-9.648610348860886e-10,-3.2551293932557303e-10,1.5504728374609298e-09,-8.332562143705932,-0.09668011743538071,-1.592824867613235
2023-03-23 10:30:06,-9.649698784933398e-10,-3.252894023738403e-10,1.5615012590127133e-09,-8.330791195468729,-0.09682758451321985,-1.6021209163483796
2023-03-23 10:30:07,-9.6508497624192e-10,-3.2506591046709677e-10,1.5725400798942906e-09,-8.329009777060364,-0.09697492885208378,-1.6114149893054213
2023-03-23 10:30:08,-9.652064032868074e-10,-3.248424638016437e-10,1.5835893374048042e-09,-8.327217890125217,-0.09712215029031142,-1.6207070745452175
2023-03-23 10:30:09,-9.653342350722244e-10,-3.246190625820817e-10,1.594649068466203e-09,-8.32541553633512,-0.09726924866899919,-1.6299971601178458
2023-03-23 10:30:10,-9.654685473288257e-10,-3.243957070212956e-10,1.6057193096221333e-09,-8.323602717390454,-0.09741622383213125,-1.6392852340621347
2023-03-23 10:30:11,-9.656094160712439e-10,-3.2417239734049094e-10,1.6168000970361147e-09,-8.321779435021332,-0.09756307562669651,-1.6485712844052827
2023-03-23 10:30:12,-9.657569175977733e-10,-3.239491337691776e-10,1.627891466490226e-09,-8.319945690988765,-0.09770980390279307,-1.6578552991625588
2023-03-23 10:30:13,-9.659111284865832e-10,-3.2372591654519265e-10,1.6389934533835368e-09,-8.318101487085915,-0.09785640851371903,-1.6671372663371042
2023-03-23 10:30:14,-9.660721255955308e-10,-3.2350274591469797e-10,1.6501060927305666e-09,-8.316246825139295,-0.09800288931604903,-1.6764171739198155
2023-03-23 10:30:15,-9.662399860586969e-10,-3.232796221321952e-10,1.661229419159969e-09,-8.314381707010043,-0.09814924616969715,-1.6856950098893264
2023-03-23 10:30:16,-9.664147872853241e-10,-3.230565454605191e-10,1.6723634669130306e-09,-8.312506134595173,-0.09829547893796453,-1.6949707622120793
2023-03-23 10:30:17,-9.6659660695758e-10,-3.2283351617085834e-10,1.6835082698420836e-09,-8.31062010982877,-0.09844158748757213,-1.7042444188424724
2023-03-23 10:30:18,-9.667855230286048e-10,-3.22610534542751e-10,1.6946638614092468e-09,-8.308723634683297,-0.09858757168867946,-1.7135159677231178
2023-03-23 10:30:19,-9.669816137205246e-10,-3.2238760086409233e-10,1.705830274684914e-09,-8.30681671117075,-0.09873343141488776,-1.7227853967851663
2023-03-23 10:30:20,-9.671849575225011e-10,-3.221647154311474e-10,1.7170075423463773e-09,-8.304899341343873,-0.09887916654322841,-1.7320526939487213
2023-03-23 10:30:21,-9.673956331886964e-10,-3.219418785485487e-10,1.7281956966762923e-09,-8.302971527297316,-0.09902477695413722,-1.741317847123332
2023-03-23 10:30:22,-9.676137197359008e-10,-3.217190905293024e-10,1.7393947695615772e-09,-8.301033271168745,-0.09917026253141373,-1.750580844208557
2023-03-23 10:30:23,-9.678392964427123e-10,-3.214963516947905e-10,1.7506047924917593e-09,-8.299084575139931,-0.09931562316216687,-1.7598416730946067
2023-03-23 10:30:24,-9.680724428455874e-10,-3.2127366237478346e-10,1.761825796557636e-09,-8.297125441437787,-0.0994608587367473,-1.7691003216630448
2023-03-23 10:30:25,-9.68313238738896e-10,-3.2105102290744487e-10,1.7730578124500623e-09,-8.29515587233534,-0.0996059691486658,-1.7783567777875546
2023-03-23 10:30:26,-9.685617641713347e-10,-3.2082843363932075e-10,1.784300870458501e-09,-8.293175870152657,-0.0997509542945,-1.787611029334761
2023-03-23 10:30:27,-9.688180994442506e-10,-3.2060589492535394e-10,1.7955550004696676e-09,-8.291185437257713,-0.09989581407378872,-1.7968630641651022
2023-03-23 10:30:28,-9.690823251103447e-10,-3.20383407128897e-10,1.806820231966203e-09,-8.289184576067216,-0.10004054838891524,-1.8061128701337477
2023-03-23 10:30:29,-9.69354521970606e-10,-3.201609706216922e-10,1.8180965940255386e-09,-8.287173289047308,-0.10018515714498026,-1.8153604350915578
2023-03-23 10:30:30,-9.696347710727884e-10,-3.1993858578390484e-10,1.8293841153183235e-09,-8.28515157871426,-0.10032964024966502,-1.824605746886067
2023-03-23 10:30:31,-9.6992315370914e-10,-3.197162530040919e-10,1.8406828241072647e-09,-8.283119447635102,-0.10047399761308597,-1.8338487933625116
2023-03-23 10:30:32,-9.702197514142897e-10,-3.1949397267923387e-10,1.8519927482458675e-09,-8.28107689842811,-0.10061822914764124,-1.8430895623648593
2023-03-23 10:30:33,-9.705246459638557e-10,-3.192717452147238e-10,1.8633139151771635e-09,-8.279023933763321,-0.10076233476785076,-1.8523280417368735
2023-03-23 10:30:34,-9.708379193705984e-10,-3.1904957102436847e-10,1.874646351932385e-09,-8.27696055636291,-0.10090631439019007,-1.8615642193231736
