UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,JB08,DTM2000,NRLMSISE00
2024-05-09 22:56:42,-1794544.7081114734,418987.33165592817,-6644123.710828914,-5359.040862884773,5079.215759397172,1768.2149490431273,,,,1.822427426745321e-07,-1.7622908465853016e-08,2.413701896131215e-07,-6.131870446038894e-13,2.2055076259085539e-13,2.0071957242420073e-13,2.0180261118456917e-13
2024-05-09 22:57:42,-2111946.830360476,722606.8363923992,-6523602.374015545,-5217.182993540821,5037.758787800444,2247.720400666531,,,,2.798800271541779e-07,-1.510274280080992e-07,1.490649355062601e-07,-1.8080194415481344e-12,2.316855870771921e-13,2.030222146984095e-13,2.10617438702485e-13
2024-05-09 22:58:42,-2420151.320327985,1023079.2507439745,-6374590.978625534,-5052.560939477707,4974.348088823681,2717.5413043536932,,,,1.77381510813035e-07,-9.415924817623988e-08,2.7811931424537306e-08,-1.2352907278187245e-12,2.437054069499245e-13,2.0799755976853698e-13,2.2291022624818198e-13
2024-05-09 22:59:42,-2717812.68091574,1319094.6301785838,-6197731.81034466,-4865.868931961079,4889.241615649462,3175.643919100323,,,,2.0712226822539037e-07,-4.8422948539794675e-08,2.6026734367690096e-07,-4.0079520133505166e-13,2.5678710851100824e-13,2.1624229994214243e-13,2.389463744782279e-13
2024-05-09 23:00:42,-3003629.909829608,1609361.281682455,-5993787.932924989,-4657.895961292582,4782.790188193014,3620.0371768055434,,,,-5.7424200061717556e-08,1.7478039660012712e-07,-4.2195907212772e-08,9.102920803912655e-13,2.710560169038915e-13,2.2828916139823965e-13,2.5886621298610697e-13
2024-05-09 23:01:42,-3276352.1618331857,1892611.3825282808,-5763640.316016211,-4429.524219709268,4655.438224574887,4048.7841550089215,,,,1.1679579881018753e-07,-1.0571983422025255e-07,-1.419205997166273e-08,-1.0211052694264112e-12,2.8658563886134436e-13,2.4459164424107544e-13,2.826648694508049e-13
2024-05-09 23:02:42,-3534784.2078459226,2167606.4892359246,-5508284.27547032,-4181.724886436201,4507.720158092452,4460.011455701698,,,,2.368291696086544e-08,1.1847199887782267e-07,1.2106578317627736e-07,9.322601294521873e-13,3.034052088858723e-13,2.655121167788052e-13,3.1019491675660683e-13
2024-05-09 23:03:42,-3777791.667525849,2433142.855776907,-5228825.425172452,-3915.5542092995047,4340.257643589541,4851.917101106137,,,,-4.241742956878625e-09,2.1221822521511058e-08,-2.0218119622938957e-08,1.0210788570467217e-14,3.215038448603689e-13,2.9129785213855693e-13,3.411802061842743e-13
2024-05-09 23:04:42,-4004305.977092528,2688056.6010687305,-4926475.203489559,-3632.14930790267,4153.757626661253,5222.776574863687,,,,4.912194384587565e-08,3.0105339110519935e-08,-2.2428042534272663e-08,-1.628686586141594e-13,3.4083155473433083e-13,3.220163264652829e-13,3.7522182157167224e-13
2024-05-09 23:05:42,-4213329.153351344,2931228.773964533,-4602546.019195023,-3332.7253097048742,3949.010473349549,5570.9499729665295,,,,1.261245596850813e-07,1.5382902063265647e-08,1.0490265189844195e-07,2.141580681224149e-13,3.612981260639328e-13,3.574350027230937e-13,4.117855986873963e-13
