,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,DTM2000 Density,NRLMSISE00 Density,Computed Density
34,2003-10-27 22:08:32,3714186.8174395543,4697343.754089619,-3163524.4489228055,1890.947201952966,3058.499807911135,6774.863970920379,-7.495669986035125e-06,-1.1419849603733212e-05,8.344230358225957e-06,3.627635039559507e-12,2.402697126820333e-12,2.622484824820325e-12,7.731422449952475e-12
35,2003-10-27 22:08:47,3742013.5737108476,4742541.051720149,-3061448.4869429134,1819.1943791374358,2967.6572343789135,6834.938844050999,-7.910878583317071e-06,-1.1383752418048232e-05,9.29515693437466e-06,3.637317125336749e-12,2.4306623850067785e-12,2.657742476827347e-12,1.6084613514327778e-11
36,2003-10-27 22:09:02,3768759.971974904,4786369.123274634,-2958486.137540804,1746.9063232749936,2875.9451406064227,6893.0430553807455,-9.395626818786695e-06,-1.194972843876485e-05,9.836459427869926e-06,3.64718518536862e-12,2.4603739421550867e-12,2.6935980682621606e-12,1.7826593830009647e-11
37,2003-10-27 22:09:17,3794418.191601429,4828815.189982797,-2854667.135394327,1674.103863413538,2783.3899333634095,6949.159221381745,-1.0803891930422083e-05,-1.2536563707143955e-05,9.633031277545001e-06,3.657212169900078e-12,2.4916434980566293e-12,2.729898551799098e-12,1.4585132289771575e-11
38,2003-10-27 22:09:32,3818980.620761551,4869866.738119901,-2750021.3871052833,1600.8079444192435,2690.0182050463663,7003.270324243133,-1.1534982078842404e-05,-1.3117942523344084e-05,8.217400321974822e-06,3.6673831671435875e-12,2.5242594374797943e-12,2.76648942861564e-12,3.864270378555436e-12
39,2003-10-27 22:09:47,3842440.068978605,4909511.788903294,-2644579.1320693474,1527.0397500544193,2595.8569236818003,7055.360095160516,-1.1067757324845218e-05,-1.3453151757936155e-05,6.649248070367264e-06,3.6776706492531666e-12,2.557969376233957e-12,2.803195945446006e-12,-5.310269743324963e-12
40,2003-10-27 22:10:02,3864789.5582469064,4947738.633984334,-2538370.770476121,1452.820580985664,2500.9332375277218,7105.412652848238,-9.52127707254391e-06,-1.2825433781671336e-05,5.320812952902543e-06,3.6880593485180106e-12,2.5925017971849254e-12,2.8398445055462576e-12,-8.66129281882347e-12
41,2003-10-27 22:10:17,3886022.5390924904,4984536.111808329,-2431427.012897059,1378.171966600611,2405.2746401381214,7153.412917089145,-8.018245794438883e-06,-1.1840770965498848e-05,5.707516668174151e-06,3.698521169472204e-12,2.6275499227295593e-12,2.8762437734356355e-12,1.2517121849985898e-12
42,2003-10-27 22:10:32,3906132.677855146,5019893.336588529,-2323778.7185376696,1303.1155427319038,2308.9087867601907,7199.346216033158,-7.631435134491937e-06,-1.1392703156865025e-05,7.694851496875543e-06,3.709040412382588e-12,2.6627961328475228e-12,2.9122072814655848e-12,2.005456295120653e-11
43,2003-10-27 22:10:47,3925114.075597957,5053799.978815979,-2215457.0307578333,1227.673142271182,2211.863634117927,7243.198710230121,-9.4106003150074e-06,-1.286780461473569e-05,9.621644262658435e-06,3.719588517373477e-12,2.6978975342519596e-12,2.9475345306552095e-12,3.111818283246638e-11
44,2003-10-27 22:11:02,3942961.052022264,5086245.989194591,-2106493.229203673,1151.8666854758767,2114.1672802885632,7284.956979550216,-1.1772801570941738e-05,-1.5267588787004627e-05,9.145458535364526e-06,3.7301494837036965e-12,2.732513100373263e-12,2.982034560636509e-12,2.1723974563562113e-11
45,2003-10-27 22:11:17,3959668.3666591467,5117221.883001934,-1996918.854511927,1075.7182450075818,2015.8480872854664,7324.608448745114,-1.2917334117901191e-05,-1.664502728360162e-05,5.9095849200829775e-06,3.740694382756493e-12,2.7662906842279024e-12,3.015506869484189e-12,-4.560404675797866e-12
46,2003-10-27 22:11:32,3975231.0000951006,5146718.459737773,-1886765.571038282,999.249960361329,1916.9345422908018,7362.140961228095,-1.1527952215040216e-05,-1.5586338141915235e-05,2.8200242758735783e-06,3.751207016295233e-12,2.798896399186764e-12,3.047765789147489e-12,-2.188629389451268e-11
47,2003-10-27 22:11:47,3989644.3773085624,5174727.091216983,-1776065.2770235986,922.4840859617459,1817.4553692257693,7397.543190177343,-8.951640054988275e-06,-1.2964403842019578e-05,2.265066087581147e-06,3.7616582933053415e-12,2.8300023018829e-12,3.0786210848869606e-12,-1.5990051070088886e-11
48,2003-10-27 22:12:02,4002904.1461248845,5201239.43703862,-1664849.981925239,845.4429337748825,1717.4394103920897,7430.804219317357,-7.975820559558144e-06,-1.1349376491942564e-05,4.532874738227832e-06,3.7720320224484115e-12,2.8593167435871827e-12,3.107902803203006e-12,7.71773731796028e-12
49,2003-10-27 22:12:17,4015006.401365163,5226247.735623335,-1553151.906181391,768.148931002895,1616.915744874536,7461.913944793018,-9.187218808826003e-06,-1.1817943427416822e-05,7.167016200959608e-06,3.7822991068091776e-12,2.886571266622228e-12,3.1354413185694706e-12,2.8610369053392484e-11
50,2003-10-27 22:12:32,4025947.4623964415,5249744.516811814,-1441003.369153288,690.6245650770107,1515.9135705214242,7490.862676947962,-1.1231980869830238e-05,-1.3671606708065553e-05,7.160365902425525e-06,3.7924435404168904e-12,2.911550117841255e-12,3.1610923198528565e-12,2.6310769400678394e-11
51,2003-10-27 22:12:47,4035724.099773826,5271722.897303301,-1328436.874913522,612.8924491086414,1414.4623234521937,7517.641570500496,-1.2210261367329167e-05,-1.5110291893272176e-05,5.294293238033987e-06,3.8024362717358096e-12,2.934074437940468e-12,3.184715976744022e-12,1.1339800505022519e-11
52,2003-10-27 22:13:02,4044333.310432831,5292176.288668382,-1215485.0137631514,534.9752517957204,1312.5915478844754,7542.242213812286,-1.151201291271775e-05,-1.4643675907421994e-05,3.2975588155625957e-06,3.812261471562027e-12,2.954029076883729e-12,3.206201852607551e-12,-7.040894789083042e-13
53,2003-10-27 22:13:17,4051772.545642541,5311098.69510447,-1102180.5362057453,456.8957385020882,1210.3309821575392,7564.657085443757,-1.0650815713830752e-05,-1.3788972983874714e-05,2.6739291600907933e-06,3.821890203867692e-12,2.971342502598186e-12,3.225447099295274e-12,-1.556725047471084e-12
54,2003-10-27 22:13:32,4058039.484510083,5328484.418452965,-988556.2657992503,378.6767125286158,1107.710447390048,7584.879107081334,-1.0149520048408078e-05,-1.3446019686114141e-05,3.311768452141095e-06,3.8313069090722144e-12,2.9860094057662782e-12,3.2423810106699683e-12,6.55616617174467e-12
55,2003-10-27 22:13:47,4063132.2631611917,5344328.358504393,-874645.1581166101,300.34103225838754,1004.7599016966049,7602.90208271668,-1.0168594987369772e-05,-1.3909348181684322e-05,3.645892392656336e-06,3.84048288072289e-12,2.998065480356983e-12,3.256942148610998e-12,1.1081239307532704e-11
56,2003-10-27 22:14:02,4067049.246399751,5358625.715038108,-760480.2284294456,221.91158028168508,901.5093678197268,7618.720252176538,-1.0466296427757982e-05,-1.4598678951927013e-05,3.3419338416607047e-06,3.849402937432597e-12,3.0076054066533377e-12,3.2691023577844186e-12,1.0323089713974825e-11
57,2003-10-27 22:14:17,4069789.25672365,5371372.289839636,-646094.5987890898,143.41128093536608,797.9889900176561,7632.328716322719,-1.0673390465676391e-05,-1.4836663054573762e-05,2.6152321442873827e-06,3.858038755189577e-12,3.0147529866860914e-12,3.2788428769882613e-12,6.755219640037844e-12
58,2003-10-27 22:14:32,4071351.3458680226,5382564.186370547,-531521.4381696461,64.86307560718357,694.2289719903775,7643.723009800948,-1.044502907010525e-05,-1.4581534319546563e-05,1.6077292511740282e-06,3.866375683539689e-12,3.0196754533279513e-12,3.286177728924286e-12,1.3920667387892328e-12
59,2003-10-27 22:14:47,4071735.024822995,5392198.112790389,-416793.99645658664,-13.710067858105486,590.2596336891182,7652.899541357558,-9.954713834581241e-06,-1.3899571386311038e-05,9.181118669765453e-07,3.874385915218142e-12,3.0225506927244767e-12,3.291128918938319e-12,-1.2620107528121752e-12
60,2003-10-27 22:15:02,4070940.0342885815,5400271.0806734525,-301945.5571689718,-92.28517452527336,486.1113470997441,7659.855160612606,-9.242647680984817e-06,-1.2936773583938077e-05,7.290196540332694e-07,3.882055419653781e-12,3.0235799728671474e-12,3.2937492332600064e-12,-6.434599372353212e-16
61,2003-10-27 22:15:17,4068966.5745493844,5406780.7105550235,-187009.45744884107,-170.8392675542151,381.81457609543503,7664.587606580403,-8.749641112970608e-06,-1.2553834189965585e-05,1.0013502384220718e-06,3.889356887124609e-12,3.0229547446794476e-12,3.294096678606277e-12,4.448717935528187e-12
62,2003-10-27 22:15:32,4065815.075669289,5411724.927822373,-72019.05488057583,-249.3493747415829,277.3998231100139,7667.095055037441,-8.735015909699939e-06,-1.3167271640135425e-05,2.512896774720108e-06,3.896276853032435e-12,3.0208703948712815e-12,3.2922568953653807e-12,1.8545328558516564e-11
