,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,Computed Density
13,2003-10-27 22:03:17,2897394.821473385,3458658.4040156766,-5052957.6160856495,3239.2808868349093,4721.818101423071,5094.700456593429,-5.9169845760820294e-06,-7.121727160885882e-06,1.378502405113835e-05,3.5003569245216033e-12,1.838823621138619e-11
14,2003-10-27 22:03:32,2945564.791920497,3528984.6045899563,-4975811.610037189,3183.2277701378534,4654.78370012131,5191.186262266709,-6.599611447111187e-06,-8.035771933201374e-06,1.5061741627242498e-05,3.50191915487289e-12,2.0852031602241838e-11
15,2003-10-27 22:03:47,2992887.0315692974,3598295.166086979,-4897229.448170167,3126.250126866835,4586.399586267877,5286.1878882949695,-7.503524246832427e-06,-9.330788708794557e-06,1.5535344315864563e-05,3.5040269324560096e-12,1.670812643091414e-11
16,2003-10-27 22:04:02,3039347.752526143,3666569.9382296316,-4817233.533384727,3068.3639643988963,4516.684883950571,5379.677488334411,-8.336634356176376e-06,-1.0776663755152072e-05,1.4484204154285862e-05,3.5066717560255623e-12,3.789521214555787e-12
17,2003-10-27 22:04:17,3084933.49012932,3733789.1582091223,-4735846.82015201,3009.5856611631443,4445.659262790413,5471.627728111302,-8.421270206948606e-06,-1.1174917809775309e-05,1.3004225462687202e-05,3.509833587609283e-12,-4.181060710268457e-12
18,2003-10-27 22:04:32,3129630.944348527,3799933.261143216,-4653092.534720258,2949.9317798526276,4373.342665011291,5562.011543218767,-7.824428760905278e-06,-1.0411916075980798e-05,1.1901140962500278e-05,3.5135034881289536e-12,-2.644123984274152e-12
19,2003-10-27 22:04:47,3173427.1504471838,3864983.0863875886,-4568994.438875136,2889.419249164095,4299.755577715299,5650.802436647315,-7.38059572213956e-06,-9.690411213902905e-06,1.2265548111400904e-05,3.5176607884417906e-12,6.598495614946568e-12
20,2003-10-27 22:05:02,3216309.3138780994,3928919.679500531,-4483576.557921434,2828.0651771252196,4224.918751552978,5737.974204049253,-7.649761971428859e-06,-9.60306330544114e-06,1.3251710238471048e-05,3.5222959337287702e-12,1.453577496452179e-11
21,2003-10-27 22:05:17,3258264.9855579273,3991724.506612889,-4396863.435703047,2765.8870230836737,4148.853446490419,5823.501244326667,-8.495500189553695e-06,-1.0474394271930976e-05,1.367756619519156e-05,3.5273875207594095e-12,1.332587103559596e-11
22,2003-10-27 22:05:32,3299281.8918573526,4053379.247669574,-4308879.870596255,2702.9024194396757,4071.5811698117095,5907.3582632049365,-9.194970871817532e-06,-1.1396642459970963e-05,1.27924535755497e-05,3.532925313333711e-12,4.4601039133381745e-12
23,2003-10-27 22:05:47,3339348.1154993456,4113866.017299204,-4219651.160567798,2639.1293394836,3993.123908757351,5989.520590452829,-9.290421979279984e-06,-1.1711249497281528e-05,1.1178856746063559e-05,3.538887145944354e-12,-4.670092567325391e-12
24,2003-10-27 22:06:02,3378451.9197734273,4173167.151091903,-4129202.848583902,2574.5859217762318,3913.5038860913196,6069.963872974469,-8.60475987707332e-06,-1.1138441905700347e-05,9.812760147553945e-06,3.5452621378061124e-12,-6.621955491303888e-12
25,2003-10-27 22:06:17,3416581.933883036,4231265.433800098,-4037560.9580183052,2509.2906250698293,3832.743786715086,6148.664402172056,-7.84787158547573e-06,-1.0063584999997488e-05,9.593473111912942e-06,3.5520273872100428e-12,6.767939911083696e-13
26,2003-10-27 22:06:32,3453726.9723306713,4288143.878318561,-3944751.7477492196,2443.262062728541,3750.866524606098,6225.598794116883,-7.64285016252586e-06,-9.399854511649153e-06,1.0692351167129743e-05,3.559171360952056e-12,1.3255003340074006e-11
27,2003-10-27 22:06:47,3489876.2249011686,4343785.960949149,-3850801.9382652715,2376.5191463726087,3667.895467908221,6300.744319058602,-8.397201338716798e-06,-9.705281646787967e-06,1.2163115107988176e-05,3.5666703674422628e-12,2.216314832618238e-11
28,2003-10-27 22:07:02,3525019.070937522,4398175.392286595,-3755738.4754583873,2309.080934828616,3583.854211840791,6374.078577164885,-9.736850645758466e-06,-1.1015741899100817e-05,1.2736812035285539e-05,3.5745122302969265e-12,2.0183743364694604e-11
29,2003-10-27 22:07:17,3559145.272733029,4451296.356690052,-3659588.7452232847,2240.9667774924424,3498.7668057586593,6445.5798340972015,-1.0637975377925102e-05,-1.2314865446505507e-05,1.2409087974063482e-05,3.58267274274984e-12,1.3662516956086132e-11
30,2003-10-27 22:07:32,3592244.7882660176,4503133.28201975,-3562380.3501434145,2172.196168136252,3412.6575242903646,6515.226703933335,-1.0722250801897815e-05,-1.2983067676053395e-05,1.05540468444687e-05,3.5911391121072405e-12,1.10820602504238e-12
31,2003-10-27 22:07:47,3624307.97530464,4553671.096375795,-3464141.3195543746,2102.7888874680475,3325.551089023714,6582.998528922529,-1.0511781983524315e-05,-1.3593463857652921e-05,7.796718295871585e-06,3.599885314713504e-12,-1.6983858861272852e-11
32,2003-10-27 22:08:02,3655325.3844249523,4602894.9691165285,-3364899.882949955,2032.7648460656994,3237.4724246493893,6648.8750073381125,-9.203123712886452e-06,-1.267838406970867e-05,7.1341974070548986e-06,3.6088976460290782e-12,-1.3106545009213515e-11
33,2003-10-27 22:08:17,3685287.9376448113,4650790.534393391,-3264684.6437045764,1962.1441870506856,3148.446821310298,6712.836533378259,-6.823573208691869e-06,-9.84608641907414e-06,1.1231342925022147e-05,3.6181534400431715e-12,3.2605945549505254e-11
34,2003-10-27 22:08:32,3714186.7795693316,4697343.706026817,-3163524.416447023,1890.9471814210463,3058.499774339564,6774.8639055975145,-6.802993676835456e-06,-1.0250953832446896e-05,1.094172877458277e-05,3.627639523129547e-12,3.144499068412319e-11
35,2003-10-27 22:08:47,3742013.5737108476,4742541.051720149,-3061448.4869429134,1819.1943791374358,2967.657234378914,6834.938844050999,-1.2229034371813441e-05,-1.844434168685183e-05,-4.44312433378613e-06,3.637317125336749e-12,-1.1333116570802146e-10
36,2003-10-27 22:09:02,3768760.1133085,4786369.302647453,-2958486.258742072,1746.906399901163,2875.945265897235,6893.043299168987,-1.197268946295793e-05,-1.6299314339995874e-05,1.7249165651378462e-07,3.647168326408839e-12,-7.035203837436591e-11
37,2003-10-27 22:09:17,3794418.191601429,4828815.189982797,-2854667.1353943273,1674.1038635984619,2783.389933674505,6949.159222195162,4.362773504240636e-06,8.412896415066484e-06,8.748820529369539e-06,3.657212169900078e-12,9.651632133282039e-11
