UTC,x,y,z,xv,yv,zv,accx,accy,accz,nc_accx,nc_accy,nc_accz,Computed Density,Unnamed: 14,latitude,longitude,altitude,AccelerometerDensity,NRLMSISE-00
2023-04-24 11:08:42,-3035878.5318162334,313497.9132536545,6148234.824720403,-6811.665235473965,397.7176651210951,-3384.797457982143,,,,-1.6344455255890017e-07,-5.86457370443938e-08,-3.140145894420243e-07,1.8229210390563026e-12,,63.61449212738584,155.03119848292783,503080.039909892,1.4853473e-12,1.364583e-12
2023-04-24 11:08:57,-3137629.621662826,319420.1151347583,6096613.87198601,-6754.834837677054,391.8911589882584,-3497.836656450285,,,,-1.5587567592234566e-07,-4.702851263971297e-08,-2.2919544218069634e-07,1.554616079296346e-12,,62.66502559003143,155.04980796361895,502779.8353839125,1.5418082e-12,1.3713804e-12
2023-04-24 11:09:12,-3238514.220250287,325254.1037925007,6043304.510890966,-6696.1330713013,385.9558905769686,-3609.91855592356,,,,-1.2772765689561538e-07,-2.3354952360943315e-08,-3.445900116361145e-07,1.769444275449226e-12,,61.715333283092775,155.06338001128915,502474.67546073394,1.5687863e-12,1.3779696e-12
2023-04-24 11:09:27,-3338504.334753352,330998.2562127229,5988321.257453862,-6635.575597620619,379.9134623397632,-3721.012009895283,,,,-1.0910837655586648e-07,-5.3669305888348624e-08,-3.178828551497759e-07,1.5967772519313985e-12,,60.765415843937895,155.0724069910283,502164.76159992855,1.5934848e-12,1.3842823e-12
2023-04-24 11:09:42,-3437572.2922035507,336650.9808641935,5931679.246858022,-6573.178774197526,373.7655131421322,-3831.086210266277,,,,2.0706634629164e-08,-3.6959831029026446e-08,-2.4906349427311625e-07,6.80634752592385e-13,,59.81527357779663,155.0773195929741,501850.475438737,1.5872886e-12,1.3902985e-12
2023-04-24 11:09:57,-3535690.5848096064,342210.7026769877,5873393.92133938,-6508.959300763632,367.51370190697935,-3940.110524207157,,,,-4.7291873528365627e-08,-5.6486246791109807e-08,-1.447371973384293e-07,7.25528540827443e-13,,58.86490650602452,155.07849620165678,501532.02965230105,1.5941036e-12,1.3959787e-12
2023-04-24 11:10:12,-3632832.04563224,347675.88094348065,5813481.332179555,-6442.934549438354,361.1597313739104,-4048.0546815602097,,,,-2.0022461377777745e-07,-5.156531862615665e-08,-6.266092089646237e-08,1.290489207653683e-12,,57.91431447218866,155.07627060397454,501209.817153103,1.6255692e-12,1.4012825e-12
2023-04-24 11:10:27,-3728969.683153719,353044.9921832216,5751957.832482438,-6375.122226452127,354.7053265671266,-4154.888595156663,,,,-1.8653704181303965e-07,-5.603662966979783e-08,-1.506423084052244e-07,1.5188791160012093e-12,,56.96349716698437,155.0709383961034,500884.0612434051,1.7382051e-12,1.4061844e-12
2023-04-24 11:10:42,-3824076.866690515,358316.5474621558,5688840.373595316,-6305.540702091636,348.15225783250764,-4260.582547111855,,,,-1.606820640986939e-07,-1.352538790966307e-07,-3.068584311094469e-07,1.923277486655232e-12,,56.01245421718138,155.06276231225445,500555.16501402826,1.8046701e-12,1.4106361e-12
2023-04-24 11:10:57,-3918127.150975224,363489.0755712121,5624146.203136961,-6234.208680217183,341.50231683220636,-4365.1070100709685,,,,-6.392735496518753e-08,-1.7732649842949757e-07,-2.2308319636010765e-07,1.109558667144378e-12,,55.06118519014036,155.05197668102986,500223.36119021755,1.9163933e-12,1.4146243e-12
