MJD,UTC,EDR,rho_eff,jb08_rho,dtm2000_rho,nrlmsise00_rho
60069.767847222225,2023-05-05 18:25:42,158.72947315126655,-4.200085337651454e-14,3.32250519204295e-13,4.2597967053272107e-13,4.3959597803374327e-13
60069.76819444444,2023-05-05 18:26:12,167.1432267650962,-4.4227187433226285e-14,3.284619213587007e-13,4.143580790483464e-13,4.2735134877273636e-13
60069.768541666665,2023-05-05 18:26:42,175.33829251676798,-4.639565525595286e-14,3.2507171507348407e-13,4.035862856565145e-13,4.161131223456729e-13
60069.76888888889,2023-05-05 18:27:12,181.48611905053255,-4.8022410235368795e-14,3.22079706974133e-13,3.9370105677646763e-13,4.0590244077787474e-13
60069.76923611111,2023-05-05 18:27:42,183.30136678740385,-4.8502736620410875e-14,3.1948457441352287e-13,3.8472666383412965e-13,3.967413145503078e-13
60069.769583333335,2023-05-05 18:28:12,178.93077376112342,-4.734624921312084e-14,3.1728359958984806e-13,3.7667764001861397e-13,3.8865165227706905e-13
60069.76993055556,2023-05-05 18:28:42,168.3977447785437,-4.455914107797122e-14,3.154720496542557e-13,3.6956119644083e-13,3.816542625260878e-13
60069.77027777778,2023-05-05 18:29:12,152.8717623874545,-4.045086492113524e-14,3.140421731478775e-13,3.633793268529506e-13,3.7576818687609497e-13
60069.770625,2023-05-05 18:29:42,132.9136897996068,-3.5169828804791676e-14,3.129813448625554e-13,3.581303764717726e-13,3.7101037054108393e-13
60069.77097222222,2023-05-05 18:30:12,108.0861351005733,-2.860029597696108e-14,3.1226904197611127e-13,3.5381004153759873e-13,3.673959118935733e-13
60069.77131944445,2023-05-05 18:30:42,78.50848645716906,-2.0773857324891672e-14,3.118758833673082e-13,3.5041184067784997e-13,3.6493970619563967e-13
60069.77166666667,2023-05-05 18:31:12,45.122644528746605,-1.1939745903436522e-14,3.1181693465295215e-13,3.479272410709742e-13,3.636628674119068e-13
60069.77201388889,2023-05-05 18:31:42,3.083252277225256,-8.158486527270957e-16,3.1335572203814314e-13,3.4634556888637706e-13,3.636146434029604e-13
60069.772361111114,2023-05-05 18:32:12,-224.06562911346555,5.928922618008488e-14,3.160478010314697e-13,3.4565374939284887e-13,3.643492526269894e-13
60069.77270833333,2023-05-05 18:32:42,-408.4732277058065,1.0808467894776931e-13,3.213444784685979e-13,3.458361683517816e-13,3.6595267561520003e-13
60069.77305555555,2023-05-05 18:33:12,-423.2789658047259,1.120023737695191e-13,3.222085162524863e-13,3.468744883468818e-13,3.6930222653329193e-13
60069.77340277778,2023-05-05 18:33:42,-443.877994261682,1.1745301098731394e-13,3.214877063344932e-13,3.4874764368691163e-13,3.736816306800257e-13
60069.77375,2023-05-05 18:34:12,-466.26985082402825,1.2337804220950413e-13,3.2058875842990106e-13,3.514319947598836e-13,3.791047458597649e-13
60069.774097222224,2023-05-05 18:34:42,-486.70473934337497,1.2878524692975523e-13,3.1986071035090426e-13,3.5490173487478796e-13,3.855532957534283e-13
60069.77444444445,2023-05-05 18:35:12,-504.3964635320008,1.3346659248500746e-13,3.1942335085638773e-13,3.5912939890373024e-13,3.929908519894949e-13
60069.77479166666,2023-05-05 18:35:42,-519.2891692966223,1.3740729951805698e-13,3.193259943953486e-13,3.640862772063576e-13,4.0136883028500765e-13
60069.77513888889,2023-05-05 18:36:12,-530.2703309096396,1.4031298646866266e-13,3.195907733533174e-13,3.697428496182752e-13,4.106281723278163e-13
60069.77548611111,2023-05-05 18:36:42,-535.0941711328924,1.4158940603905646e-13,3.2022755194848683e-13,3.760689769828639e-13,4.2069976203160164e-13
60069.77583333333,2023-05-05 18:37:12,-532.4184401705861,1.408813901829481e-13,3.212400772550341e-13,3.830339892584605e-13,4.315047069983239e-13
60069.77618055556,2023-05-05 18:37:42,-522.770296305418,1.383284284185613e-13,3.226287363047799e-13,3.906064105532478e-13,4.4295453569799485e-13
60069.77652777778,2023-05-05 18:38:12,-507.71685909852386,1.343451907980546e-13,3.243918886697475e-13,3.9875338722347624e-13,4.54951500201522e-13
60069.776875,2023-05-05 18:38:42,-489.0169241242111,1.293970660962358e-13,3.265265564382824e-13,4.0743991411388035e-13,4.673891070848052e-13
60069.77722222222,2023-05-05 18:39:12,-468.2838526517153,1.239109602226831e-13,3.2902875762841127e-13,4.166279196530537e-13,4.801529011040934e-13
60069.77756944444,2023-05-05 18:39:42,-446.823264837265,1.182323487822636e-13,3.3189365286012863e-13,4.262753784191375e-13,4.931216069244993e-13
60069.777916666666,2023-05-05 18:40:12,-425.5224925503135,1.1259602557228111e-13,3.351156211571592e-13,4.3633567752322425e-13,5.061687777353649e-13
60069.77826388889,2023-05-05 18:40:42,-404.7945057041943,1.0711126512401506e-13,3.3868821764518647e-13,4.467573073172558e-13,5.191649202653675e-13
60069.77861111111,2023-05-05 18:41:12,-384.7223812416196,1.0180005013809785e-13,3.42604163906301e-13,4.574841933238793e-13,5.319803481219252e-13
60069.778958333336,2023-05-05 18:41:42,-364.947498485446,9.65674872454566e-14,3.468552389347621e-13,4.684565862112571e-13,5.44488588271219e-13
60069.77930555555,2023-05-05 18:42:12,-344.8598551005125,9.125216585151312e-14,3.5143222068323475e-13,4.796127139061339e-13,5.565705089692955e-13
60069.779652777775,2023-05-05 18:42:42,-324.17049576342106,8.57776264939542e-14,3.5632479864653707e-13,4.908910171080352e-13,5.681189303076709e-13
60069.78,2023-05-05 18:43:12,-303.19557970389724,8.022752696605357e-14,3.6152145647534794e-13,5.022327975645537e-13,5.790434939952783e-13
60069.78034722222,2023-05-05 18:43:42,-282.5947197191417,7.4776405114063e-14,3.67009391733475e-13,5.135851304473211e-13,5.89275583201407e-13
60069.780694444446,2023-05-05 18:44:12,-262.97525998204947,6.95849681654961e-14,3.72774377264512e-13,5.249036347435981e-13,5.987727667947858e-13
60069.78104166667,2023-05-05 18:44:42,-244.89039612188935,6.479959529022079e-14,3.7880067390957193e-13,5.36154976840102e-13,6.075225130754793e-13
60069.78138888889,2023-05-05 18:45:12,-228.91391199082136,6.057211343609958e-14,3.85070919409202e-13,5.473187762938734e-13,6.155446502948035e-13
60069.78173611111,2023-05-05 18:45:42,-215.38762283697724,5.699296914613183e-14,3.915660472346482e-13,5.58388833272172e-13,6.22892309573892e-13
60069.78208333333,2023-05-05 18:46:12,-204.10623075067997,5.400783925504983e-14,3.982651712135934e-13,5.693735231882923e-13,6.296510224291438e-13
60069.782430555555,2023-05-05 18:46:42,-194.7276647388935,5.152620954808534e-14,4.051455323091549e-13,5.802955108960133e-13,6.359360422684457e-13
60069.78277777778,2023-05-05 18:47:12,-187.16231448203325,4.9524368550493465e-14,4.121824260847977e-13,5.911907551956085e-13,6.418878596710299e-13
60069.783125,2023-05-05 18:47:42,-181.36874936893585,4.799135345246816e-14,4.193491401596202e-13,6.021069659336847e-13,6.476662148709189e-13
60069.783472222225,2023-05-05 18:48:12,-177.09120439738035,4.6859487167052246e-14,4.2661688984322534e-13,6.131016304318129e-13,6.534429836050803e-13
60069.78381944444,2023-05-05 18:48:42,-173.8731440976262,4.600796743273076e-14,4.339547552580464e-13,6.242397375023544e-13,6.593944255655598e-13
60069.784166666665,2023-05-05 18:49:12,-171.1010515205562,4.5274453665160414e-14,4.4132956715509087e-13,6.355912290113644e-13,6.656932412870515e-13
60069.78451388889,2023-05-05 18:49:42,-168.0758889876306,4.447397593747056e-14,4.4870585358020495e-13,6.472284260652849e-13,6.725011212754244e-13
60069.78486111111,2023-05-05 18:50:12,-164.11433277651668,4.3425722338044503e-14,4.560455597405164e-13,6.592231261872534e-13,6.799618632052019e-13
60069.785208333335,2023-05-05 18:50:42,-159.02168187499046,4.2078173709763365e-14,4.633075925991476e-13,6.716436369370629e-13,6.881956603354283e-13
60069.78555555556,2023-05-05 18:51:12,-153.44780834764242,4.060329043752897e-14,4.704466823144846e-13,6.845516262292847e-13,6.972946679259443e-13
60069.78590277778,2023-05-05 18:51:42,-148.37158250063658,3.926008798575126e-14,4.774089840548006e-13,6.979986922202036e-13,7.073198783673635e-13
60069.78625,2023-05-05 18:52:12,-143.72901221737266,3.803163362320381e-14,4.841496423873848e-13,7.120227741032219e-13,7.182994509400114e-13
60069.78659722222,2023-05-05 18:52:42,-138.39568914100528,3.6620401568482536e-14,4.906707418690368e-13,7.266444223935997e-13,7.302284265717795e-13
60069.78694444445,2023-05-05 18:53:12,-131.91027889028192,3.4904319736801595e-14,4.9696979086239e-13,7.418631765384987e-13,7.430698818742173e-13
60069.78729166667,2023-05-05 18:53:42,-124.90696263313292,3.3051196599515293e-14,5.03040722960436e-13,7.576537739856955e-13,7.56756952905457e-13
60069.78763888889,2023-05-05 18:54:12,-118.3721471875906,3.1322041831205555e-14,5.08876468144821e-13,7.739628587608381e-13,7.711960080946876e-13
60069.787986111114,2023-05-05 18:54:42,-113.2403610907495,2.996413777511603e-14,5.144698473322245e-13,7.90705961000145e-13,7.862702747812371e-13
60069.78833333333,2023-05-05 18:55:12,-110.54001184925436,2.92496077618441e-14,5.19814182850002e-13,8.077655518814169e-13,8.018441875975585e-13
60069.78868055555,2023-05-05 18:55:42,-110.9387814104557,2.935512478737517e-14,5.249035842687014e-13,8.249900988578273e-13,8.177678286574738e-13
60069.78902777778,2023-05-05 18:56:12,-114.601308722049,3.032425339057486e-14,5.297332424644405e-13,8.421948372705236e-13,8.338816217196297e-13
60069.789375,2023-05-05 18:56:42,-121.2836865670979,3.2092454131774947e-14,5.342995806476521e-13,8.591642915099136e-13,8.500208355723214e-13
