,Epoch,x,y,z,xv,yv,zv,accx,accy,accz,JB08 Density,DTM2000 Density,NRLMSISE00 Density,Accelerometer Density,Computed Density
4348,2023-05-05 18:07:27,-6807477.053614448,649875.9218828302,542861.4593692743,-620.6791076927312,-77.94897129250528,-7603.961766583883,-8.121823282602492e-07,-1.0620494112397614e-05,3.651469498206644e-07,6.030229475151371e-13,1.0973971103475768e-12,1.1242256558284597e-12,-1.2119596241533742e-12,8.778516098450605e-13
4349,2023-05-05 18:07:42,-6815839.958902671,648616.3642320083,428731.6306441198,-494.346793818997,-89.98835879882172,-7612.995145410501,-8.15014592884303e-07,-1.0620059037638683e-05,3.6725340216672395e-07,6.008307123689955e-13,1.08695888264461e-12,1.1252467802613891e-12,-1.2058641299636653e-12,7.278193785337556e-13
4350,2023-05-05 18:07:57,-6822306.789576307,647176.3981225314,314482.2251716652,-367.8810223253223,-102.00229278957885,-7619.904611534795,-8.178965441432561e-07,-1.0619679736096397e-05,3.694056857230084e-07,5.985305656789157e-13,1.0764631463847016e-12,1.1263786556739749e-12,-1.2003494769925987e-12,6.007698775417048e-13
4351,2023-05-05 18:08:12,-6826875.900684246,645556.4392536609,200145.11978356735,-241.31749106880363,-113.98738083734948,-7624.688460274504,-8.207847386296026e-07,-1.0619410089072232e-05,3.715700925146275e-07,5.961217579663301e-13,1.065948368843208e-12,1.1275674278473572e-12,-1.1952125851320771e-12,1.248517555211966e-12
4352,2023-05-05 18:08:27,-6829546.004255536,643756.9372477962,85752.20635453044,-114.69191620141753,-125.94023833198098,-7627.345394357593,-8.239247211005662e-07,-1.0619143611776752e-05,3.7377992316258505e-07,5.936055421394837e-13,1.0554541129503448e-12,1.1287612398807444e-12,-1.1906488445683104e-12,1.102242169876074e-12
4353,2023-05-05 18:08:42,-6830316.527024587,641778.4096503397,-28664.605516033604,11.959956700949084,-137.85750442649825,-7627.874936662658,-8.272076591385464e-07,-1.0618876292831686e-05,3.7554484833950404e-07,5.909814757575937e-13,1.0450146378124332e-12,1.1299042931856656e-12,-1.183590153323347e-12,1.1401087307002645e-12
4354,2023-05-05 18:08:57,-6829187.253173616,639621.4074209689,-143073.4036052757,138.60237499767894,-149.73582956364984,-7626.277023406692,-8.307263069020675e-07,-1.0618571373280707e-05,3.774538199146557e-07,5.882510937097673e-13,1.0346648298340882e-12,1.1309436283869826e-12,-1.1778649221443748e-12,9.824785288635349e-13
4355,2023-05-05 18:09:12,-6826158.681970722,637286.5472534616,-257442.2829213059,265.1995872131446,-161.5718855819008,-7622.552424009682,-8.343634943324497e-07,-1.06182856114352e-05,3.7942689241684636e-07,5.854142388742096e-13,1.0244339842835641e-12,1.1318232226517921e-12,-1.1729971114974938e-12,1.1775209250618682e-12
4356,2023-05-05 18:09:27,-6821231.670149582,634774.4791348105,-371739.3481998561,391.71585365782886,-173.36235347955747,-7616.702324702581,-8.378948381685621e-07,-1.061806192369319e-05,3.811406904290245e-07,5.824726977725753e-13,1.014351710497867e-12,1.1324908189489458e-12,-1.1668671022002322e-12,1.3999724307949686e-12
4357,2023-05-05 18:09:42,-6814407.789220313,632085.9204907687,-485932.7358561871,518.1154806216672,-185.103929498574,-7608.728745757246,-8.413808112553771e-07,-1.061786395020649e-05,3.8316361377524826e-07,5.794265612970155e-13,1.0044418819087774e-12,1.1328920400192401e-12,-1.1631025774708392e-12,9.469443148700537e-13
