UTC,Computed Density,JB08 Density,DTM2000 Density,NRLMSISE00 Density,x,y,z,xv,yv,zv,accx,accy,accz
2023-05-04 22:09:57,4.5543289271360605e-14,3.818354669111557e-13,6.557743102364454e-13,6.151165377278265e-13,2384218.815546884,-334817.807458737,-6439651.4476586785,7100.815888066189,-606.4566088380908,2650.5904484625967,-1.9800833861438605e-08,-1.8588069972125254e-10,7.291826964461734e-08
2023-05-04 22:10:12,3.2548600632859486e-13,3.828181172282766e-13,6.599250212223815e-13,6.194680069351593e-13,2490398.7441754676,-343868.2634592806,-6399007.534375101,7056.1827816038585,-600.2430539132394,2768.476594844146,1.6598658003630362e-08,-7.980052563194562e-09,9.377486254180667e-08
2023-05-04 22:10:27,4.328790826537611e-14,3.8390630476098565e-13,6.640410943105724e-13,6.238929142695003e-13,2595894.603112005,-352824.2739537626,-6356600.950477531,7009.610669488839,-593.8644721387642,2885.6025181592413,-3.775389600946255e-08,-3.5968624745308375e-09,1.0822654150643984e-07
2023-05-04 22:10:42,-1.0640283824557136e-13,3.8509897902398454e-13,6.681100425825818e-13,6.283875950825836e-13,2700677.432685408,-361683.38081750483,-6312443.418650234,6961.112168169493,-587.3225928895728,3001.936354062261,-6.251541329049815e-08,-1.2409567817783795e-09,1.0273001116445357e-07
2023-05-04 22:10:57,-2.853608927505678e-13,3.863960993460415e-13,6.721221484687526e-13,6.329495873521453e-13,2804718.4009712995,-370443.143476514,-6266546.979410937,6910.7002344024795,-580.6191769705711,3117.446366761924,-7.166771665012561e-08,-6.819654785328311e-09,4.9865378493052503e-08
2023-05-04 22:11:12,5.290704307258862e-14,3.877964766677657e-13,6.760670960220775e-13,6.375743629787548e-13,2907988.941627576,-379101.1572633472,-6218924.304653688,6858.38850533509,-573.7560480420675,3232.101086793723,-1.0578440345909712e-08,1.3575519597353036e-08,4.3961197349062786e-08
2023-05-04 22:11:27,-1.7222215438764754e-13,3.892999492861952e-13,6.799375050594232e-13,6.422585613946621e-13,3010460.626460887,-387655.0357827498,-6169588.380272325,6804.190958495692,-566.7350598501191,3345.8691825341666,-5.136094083368903e-08,-7.708505778136754e-09,4.251560348222938e-08
2023-05-04 22:11:42,2.982079128731447e-13,3.909051929896899e-13,6.837254626322525e-13,6.469966762305516e-13,3112105.314290631,-396102.429821669,-6118552.816783513,6748.12225254634,-559.5581236283804,3458.719607397068,-2.41996693794988e-08,2.060232257017347e-08,1.5146732756932124e-07
2023-05-04 22:11:57,-2.0070226497256118e-13,3.926119225601334e-13,6.87426099461864e-13,6.517843692621459e-13,3212895.012279019,-404441.0094543591,-6065831.534484411,6690.1973881260055,-552.2271774333274,3570.6214654530613,-6.02410756833649e-08,7.456949557838044e-09,4.78150337102079e-08
2023-05-04 22:12:12,-7.194556109130401e-13,3.944186893186155e-13,6.910340530986812e-13,6.566151438258531e-13,3312802.0339467674,-412668.4847221029,-6011439.068171329,6630.432052647626,-544.7442091251348,3681.54417836278,-1.7980821631624622e-07,8.923930705506677e-09,9.514594001558407e-08
2023-05-04 22:12:27,-4.858245807859809e-13,3.9632509483442993e-13,6.945470598188642e-13,6.614837206110355e-13,3411798.8513012053,-420782.5856621269,-5955390.257394552,6568.842272019086,-537.1112302306949,3791.457337124221,-9.074936002662071e-08,1.4802085113174712e-09,6.7581122920046255e-09
2023-05-04 22:12:42,-8.062454941587494e-13,3.9832956173235436e-13,6.979623318227832e-13,6.663826792239186e-13,3509858.2639376186,-428781.08232840616,-5897700.546221099,6505.444739354131,-529.3302971400735,3900.330892494866,-1.1169364810825755e-07,-2.8086547754213598e-08,-6.043355860185784e-08
2023-05-04 22:12:57,-3.456570395656609e-13,4.0043157092555174e-13,7.012801795487937e-13,6.713059142752338e-13,3606953.239926235,-436661.7654063878,-5838385.678308724,6440.256473685591,-521.4034896334161,4008.1349788872963,-6.23593585658e-08,1.0758814394939975e-08,1.8170798199435012e-10
2023-05-04 22:13:12,-2.624052433324432e-13,4.0262941138445444e-13,7.045003199187843e-13,6.762452560208354e-13,3703057.093649106,-444422.4680906598,-5777461.991161412,6373.295130516741,-513.3329361880162,4114.840105574986,-3.522956415480394e-08,-5.073196418514669e-09,-2.101812768273703e-08
2023-05-04 22:13:27,-6.551273768720865e-13,4.049224386973197e-13,7.076255240596023e-13,6.811940035802482e-13,3798143.3177045705,-452061.0450668879,-5714946.1163126575,6304.578681706752,-505.1207913043338,4220.4169699900485,-9.922283261687426e-08,6.2654307297904666e-09,-3.353215927148767e-08
2023-05-04 22:13:42,-4.2789850457919e-13,4.073087970440017e-13,7.106578550398576e-13,6.861435150200482e-13,3892185.7712442856,-459575.3944759085,-5650855.267567799,6234.125728067865,-496.769264878348,4324.836647338223,-7.060241014045232e-08,-1.3811645049877086e-08,-1.616322009567739e-08
2023-05-04 22:13:57,-7.749659181046125e-13,4.0978770574487684e-13,7.13602351218984e-13,6.910868258113165e-13,3985158.500992045,-466963.43670094316,-5585206.946925681,6161.955185545747,-488.2805954734041,4428.070406556925,-8.803216555719473e-08,-2.2215208561604527e-09,-8.345324253866693e-08
2023-05-04 22:14:12,-4.875188658642103e-13,4.123571584052322e-13,7.164632118432736e-13,6.960152145554885e-13,4077035.937406868,-474223.13763958425,-5518019.226887337,6088.086601666646,-479.65708092679426,4530.089913736654,-6.983436584562241e-08,5.876641506752378e-09,-3.2076530764868494e-08
2023-05-04 22:14:27,-7.343430434748762e-13,4.150162317425527e-13,7.192475065492282e-13,7.009218930093051e-13,4167792.7079164768,-481352.48629393824,-5449310.462179502,6012.539838459822,-470.9010486316035,4630.867041388227,-5.968061955741177e-08,-6.851495704118804e-09,-1.0957882334849955e-07
2023-05-04 22:14:42,-8.882492656106341e-13,4.177627462459206e-13,7.219612936010767e-13,7.057985189837835e-13,4257403.844088177,-488349.51856979774,-5379099.565929515,5935.335384385942,-462.0148849301412,4730.374090550683,-1.1664860810611799e-07,1.5561727684243465e-08,-7.294583603822957e-08
2023-05-04 22:14:57,-8.933096388558264e-13,4.2059561203455383e-13,7.246133795611678e-13,7.106389723957315e-13,4345844.584012922,-495212.29435585736,-5307405.727199444,5856.494036468695,-453.0010037932569,4828.583584702769,-6.04298104889267e-08,-2.092071349490965e-08,-1.461223160248437e-07
2023-05-04 22:15:12,-1.1608459518446826e-12,4.2351246086083583e-13,7.272113960948669e-13,7.154358235183006e-13,4433090.58773668,-501938.9225687329,-5234248.680389642,5776.037199552386,-443.86187075673547,4925.468508553911,-7.584989436537626e-08,-1.2426370821216892e-08,-1.892254122282111e-07
2023-05-04 22:15:27,-8.464718156912249e-13,4.2651202575191715e-13,7.297656040173045e-13,7.201841786968406e-13,4519117.730711012,-508527.5368968298,-5159648.428843667,5693.9865760664925,-434.59997518261986,5021.002081728879,-2.038877155996488e-08,-2.2894155571329122e-08,-1.7699301224638475e-07
2023-05-04 22:15:42,-7.126295996066962e-13,4.295917443993244e-13,7.322849373906529e-13,7.248780944286366e-13,4603902.328054861,-514976.32108779135,-5083625.5063396,5610.364450960565,-425.21785017304666,5115.158002283155,7.295187565148353e-09,-2.8498348347838487e-08,-1.7408106423033587e-07
2023-05-04 22:15:57,-8.062465711133215e-13,4.3275016715142313e-13,7.347808420725819e-13,7.295144700406476e-13,4687420.919207899,-521283.4843023925,-5006200.708351951,5525.193396939569,-415.71805011902006,5207.910209974371,1.7860593004570546e-09,-3.127259129431792e-08,-1.8635036624914392e-07
2023-05-04 22:16:12,-8.281708393660884e-13,4.359845201965796e-13,7.372632757424379e-13,7.34089377990702e-13,4769650.501225325,-527447.2872946982,-4927395.346706411,5438.4965552100275,-406.10317082691716,5299.233132938078,-6.6657088737542836e-09,-3.553538863165784e-08,-1.796110415952512e-07
2023-05-04 22:16:27,-9.641404728652032e-13,4.392931537516926e-13,7.397445987190954e-13,7.386020059751427e-13,4850568.303944243,-533466.0169213735,-4847230.987772669,5350.297348352805,-396.37582861218425,5389.101447891139,1.927216430885892e-08,-3.696285455490056e-08,-2.3216921896107579e-07
2023-05-04 22:16:42,-8.945329312662666e-13,4.4267307199642215e-13,7.422355469180702e-13,7.430509022871395e-13,4930152.030713826,-539338.0128561943,-4765729.699745219,5260.61975594452,-386.53868041116993,5477.490337497844,4.4104075058726266e-08,-5.267365854599859e-08,-2.3804940862959256e-07
2023-05-04 22:16:57,-7.966480684918946e-13,4.4612241714529915e-13,7.447491656958492e-13,7.474379445643095e-13,5008379.626018233,-545061.64142998,-4682913.797708745,5169.4880323033385,-376.59440346414783,5564.375241757069,7.687973102576962e-08,-5.978657113825392e-08,-2.43743825123488e-07
2023-05-04 22:17:12,-5.683109373387887e-13,4.4963795820251033e-13,7.472967469593894e-13,7.517644767777769e-13,5085229.525369487,-550635.3227846154,-4598806.082483884,5076.926973717794,-366.5457156061883,5649.732124058601,9.405443179844042e-08,-6.020973009057684e-08,-2.0662374478064294e-07
2023-05-04 22:17:27,-7.56761250281694e-13,4.532176170537947e-13,7.498918133297261e-13,7.560352997981262e-13,5160680.413574692,-556057.5043315697,-4513429.593786403,4982.96164441193,-356.39535465607173,5733.537213961435,1.0053980314950195e-07,-6.247214590082706e-08,-2.4641781770640137e-07
2023-05-04 22:17:42,-7.020576441242093e-13,4.568579206855801e-13,7.525460290273869e-13,7.602546990801716e-13,5234711.4815933965,-561326.6887495839,-4426807.841176622,4887.617638381421,-346.14609777262075,5815.767282310437,1.0383700210780944e-07,-5.673945957518356e-08,-2.3256398939963674e-07
2023-05-04 22:17:57,-6.846909262596767e-13,4.60556563380367e-13,7.552732218590669e-13,7.644304368915968e-13,5307302.177663171,-566441.4066051334,-4338964.565228941,4790.920810720405,-335.8007410889357,5896.399375794448,1.4785644886217142e-07,-6.374756889027111e-08,-2.6026208210794266e-07
2023-05-04 22:18:12,-4.54461389869047e-13,4.643098073785704e-13,7.580852447499523e-13,7.685696432957809e-13,5378432.472981207,-571400.2447483554,-4249923.96072953,4692.8975311452205,-325.3621172951847,5975.411103192333,1.587606357489335e-07,-7.176566441113863e-08,-2.1795222782117207e-07
2023-05-04 22:18:27,-4.883297972815638e-13,4.681151006026498e-13,7.609960632479754e-13,7.726828346225657e-13,5448082.60366068,-576201.8183677689,-4159710.4448549896,4593.574422319006,-314.8330769284795,6052.780359113248,1.79082366713601e-07,-7.622569464516005e-08,-2.3468189347397583e-07
2023-05-04 22:18:42,-5.086352028041926e-13,4.719684494103412e-13,7.640176034630974e-13,7.767797061723932e-13,5516233.34251905,-580844.7997217581,-4068348.8701318633,4492.978604069827,-304.2165053566365,6128.48561939751,1.626574688273763e-07,-8.118467387241424e-08,-2.2085421136353034e-07
2023-05-04 22:18:57,-5.313381204615996e-13,4.758670640190224e-13,7.671638579177594e-13,7.808731335349048e-13,5582865.734743315,-585327.8900909278,-3975864.302830967,4391.1374400111545,-293.5153051399379,6202.5056550798545,2.0743296857972382e-07,-8.030141995796214e-08,-2.513647379132067e-07
2023-05-04 22:19:12,-3.1880755654405557e-13,4.798066684925365e-13,7.704466632282838e-13,7.849748198767917e-13,5647961.378294337,-589649.8497749001,-3882282.228850249,4288.078771733102,-282.73241277782233,6274.819836741528,2.3662028869608775e-07,-7.757336695224382e-08,-2.2486240602859198e-07
2023-05-04 22:19:27,-3.1956052601862527e-13,4.83784209988021e-13,7.738798784551919e-13,7.89099342916341e-13,5711502.15070534,-593809.4685236815,-3787628.3388903923,4183.830675449729,-271.8707812599808,6345.407838661642,2.480503349389096e-07,-8.552448216292419e-08,-2.2637101526612469e-07
2023-05-04 22:19:42,-1.1197988542287167e-13,4.877951410754286e-13,7.774751430529784e-13,7.932597239731759e-13,5773470.495025128,-597805.594869802,-3691928.7232358833,4078.4216878942116,-260.9333955979541,6414.249950364245,2.3662238834987193e-07,-7.504615806563919e-08,-1.7393119211561725e-07
2023-05-04 22:19:57,-3.0671375474548343e-13,4.91836158597117e-13,7.812460721260214e-13,7.974714790396188e-13,5833849.140773903,-601637.1071641266,-3595209.6676080897,3971.880572058491,-249.92325585323383,6481.326773965063,2.648796524340469e-07,-8.108422600017207e-08,-2.210627538801191e-07
